G,Name,U+,Style,Tags
,academia,e000,,
,acclaim,e002,,
,acclaim-2,e001,,
,acm,e006,,
,acm-2,e003,,
,acmdl,e005,,
,acmdl-2,e004,,
,ads,e008,,
,ads-2,e007,,
,africarxiv,e00a,,
,africarxiv-2,e009,,
,archive,e00c,,
,archive-2,e00b,,
,arxiv,e00e,,
,arxiv-2,e00d,,
,biorxiv,e010,,
,biorxiv-2,e00f,,
,ceur,e012,,
,ceur-2,e011,,
,ciencia,e013,,
,ciencia-vitae,e014,,
,clarivate,e016,,
,clarivate-2,e015,,
,closed,e018,,
,closed-access,e017,,
,conversation,e01a,,
,conversation-2,e019,,
,coursera,e01c,,
,coursera-2,e01b,,
,crossref,e01e,,
,crossref-2,e01d,,
,cv,e020,,
,cv-2,e01f,,
,datacite,e022,,
,datacite-2,e021,,
,dataverse,e024,,
,dataverse-2,e023,,
,dblp,e026,,
,dblp-2,e025,,
,depsy,e028,,
,depsy-2,e027,,
,doi,e02a,,
,doi-2,e029,,
,dryad,e02c,,
,dryad-2,e02b,,
,elsevier,e02e,,
,elsevier-2,e02d,,
,figshare,e030,,
,figshare-2,e02f,,
,google,e032,,
,google-scholar,e031,,
,hal,e034,,
,hal-2,e033,,
,hypothesis,e036,,
,hypothesis-2,e035,,
,ideas,e038,,
,ideas-repec,e037,,
,ieee,e03a,,
,ieee-2,e039,,
,impactstory,e03c,,
,impactstory-2,e03b,,
,inaturalist,e03e,,
,inaturalist-2,e03d,,
,inpn,e040,,
,inpn-2,e03f,,
,inspire,e042,,
,inspire-2,e041,,
,isidore,e044,,
,isidore-2,e043,,
,isni,e046,,
,isni-2,e045,,
,jstor,e048,,
,jstor-2,e047,,
,lattes,e04a,,
,lattes-2,e049,,
,mathoverflow,e04c,,
,mathoverflow-2,e04b,,
,mendeley,e04e,,
,mendeley-2,e04d,,
,moodle,e050,,
,moodle-2,e04f,,
,mtmt,e052,,
,mtmt-2,e051,,
,nakala,e054,,
,nakala-2,e053,,
,obp,e056,,
,obp-2,e055,,
,open,e05c,,
,open-access,e057,,
,open-data,e058,,
,openedition,e05a,,
,openedition-2,e059,,
,open-materials,e05b,,
,orcid,e05e,,
,orcid-2,e05d,,
,osf,e060,,
,osf-2,e05f,,
,overleaf,e062,,
,overleaf-2,e061,,
,philpapers,e064,,
,philpapers-2,e063,,
,piazza,e066,,
,piazza-2,e065,,
,preregistered,e06c,,
,preregistered-2,e067,,
,preregistered-de,e069,,
,preregistered-de-plus,e068,,
,preregistered-de-tc,e06b,,
,preregistered-de-tc-plus,e06a,,
,preregistered-tc,e06e,,
,preregistered-tc-plus,e06d,,
,protocols,e070,,
,protocols-2,e06f,,
,psyarxiv,e072,,
,psyarxiv-2,e071,,
,publons,e074,,
,publons-2,e073,,
,pubmed,e076,,
,pubmed-2,e075,,
,pubpeer,e078,,
,pubpeer-2,e077,,
,researcherid,e07a,,
,researcherid-2,e079,,
,researchgate,e07c,,
,researchgate-2,e07b,,
,ror,e07e,,
,ror-2,e07d,,
,sci,e082,,
,sci-hub,e07f,,
,scirate,e081,,
,scirate-2,e080,,
,scopus,e084,,
,scopus-2,e083,,
,semantic,e086,,
,semantic-scholar,e085,,
,springer,e088,,
,springer-2,e087,,
,ssrn,e08a,,
,ssrn-2,e089,,
,stackoverflow,e08c,,
,stackoverflow-2,e08b,,
,viaf,e08e,,
,viaf-2,e08d,,
,wiley,e090,,
,wiley-2,e08f,,
,zenodo,e091,,
,zotero,e093,,
,zotero-2,e092,,
