G,Name,U+,Style,Tags
,accessibility,e000,,
,add-to-queue,e002,,
,add-to-queue-2,e001,,
,adjust,e005,,
,adjust-2,e003,,
,adjust-3,e004,,
,alarm,e00f,,
,alarm-2,e006,,
,alarm-add,e008,,
,alarm-add-2,e007,,
,alarm-exclamation,e00a,,
,alarm-exclamation-2,e009,,
,alarm-off,e00c,,
,alarm-off-2,e00b,,
,alarm-snooze,e00e,,
,alarm-snooze-2,e00d,,
,album,e011,,
,album-2,e010,,
,align-justify,e012,,
,align-left,e013,,
,align-middle,e014,,
,align-right,e015,,
,ambulance,e016,,
,analyse,e018,,
,analyse-2,e017,,
,anchor,e019,,
,angry,e01b,,
,angry-2,e01a,,
,aperture,e01c,,
,arch,e024,,
,arch-2,e01d,,
,archive,e023,,
,archive-2,e01e,,
,archive-in,e020,,
,archive-in-2,e01f,,
,archive-out,e022,,
,archive-out-2,e021,,
,area,e026,,
,area-2,e025,,
,arrow-back,e027,,
,arrow-from-bottom,e029,,
,arrow-from-bottom-2,e028,,
,arrow-from-left,e02b,,
,arrow-from-left-2,e02a,,
,arrow-from-right,e02d,,
,arrow-from-right-2,e02c,,
,arrow-from-top,e02f,,
,arrow-from-top-2,e02e,,
,arrow-to-bottom,e031,,
,arrow-to-bottom-2,e030,,
,arrow-to-left,e033,,
,arrow-to-left-2,e032,,
,arrow-to-right,e035,,
,arrow-to-right-2,e034,,
,arrow-to-top,e037,,
,arrow-to-top-2,e036,,
,at,e039,,
,atom,e038,,
,award,e03b,,
,award-2,e03a,,
,baby-carriage,e03c,,
,backpack,e03d,,
,badge,e042,,
,badge-2,e03e,,
,badge-check,e040,,
,badge-check-2,e03f,,
,badge-dollar,e041,,
,baguette,e044,,
,baguette-2,e043,,
,ball,e047,,
,ball-2,e045,,
,balloon,e046,,
,band-aid,e049,,
,band-aid-2,e048,,
,bank,e04a,,
,bar-chart,e050,,
,bar-chart-2,e04c,,
,bar-chart-2-2,e04b,,
,bar-chart-3,e04d,,
,bar-chart-square,e04f,,
,bar-chart-square-2,e04e,,
,barcode,e053,,
,barcode-2,e051,,
,barcode-reader,e052,,
,baseball,e055,,
,baseball-2,e054,,
,basket,e059,,
,basket-2,e056,,
,basketball,e058,,
,basketball-2,e057,,
,bath,e05b,,
,bath-2,e05a,,
,battery,e060,,
,battery-2,e05c,,
,battery-charging,e05d,,
,battery-full,e05e,,
,battery-low,e05f,,
,bed,e062,,
,bed-2,e061,,
,been-here,e064,,
,been-here-2,e063,,
,beer,e066,,
,beer-2,e065,,
,bell,e06f,,
,bell-2,e067,,
,bell-minus,e069,,
