G,Name,U+,Style,Tags
,add,e001,,
,add-r,e000,,
,adidas,e002,,
,airplane,e003,,
,alarm,e004,,
,album,e005,,
,align-bottom,e006,,
,align-center,e007,,
,align-left,e008,,
,align-middle,e009,,
,align-right,e00a,,
,align-top,e00b,,
,anchor,e00c,,
,apple-watch,e00d,,
,arrange-back,e00e,,
,arrange-front,e00f,,
,arrow-align-h,e010,,
,arrow-align-v,e011,,
,arrow-bottom-left,e014,,
,arrow-bottom-left-o,e012,,
,arrow-bottom-left-r,e013,,
,arrow-bottom-right,e017,,
,arrow-bottom-right-o,e015,,
,arrow-bottom-right-r,e016,,
,arrow-down,e01a,,
,arrow-down-o,e018,,
,arrow-down-r,e019,,
,arrow-left,e01d,,
,arrow-left-o,e01b,,
,arrow-left-r,e01c,,
,arrow-long-down,e022,,
,arrow-long-down-c,e01e,,
,arrow-long-down-e,e01f,,
,arrow-long-down-l,e020,,
,arrow-long-down-r,e021,,
,arrow-long-left,e027,,
,arrow-long-left-c,e023,,
,arrow-long-left-e,e024,,
,arrow-long-left-l,e025,,
,arrow-long-left-r,e026,,
,arrow-long-right,e02c,,
,arrow-long-right-c,e028,,
,arrow-long-right-e,e029,,
,arrow-long-right-l,e02a,,
,arrow-long-right-r,e02b,,
,arrow-long-up,e031,,
,arrow-long-up-c,e02d,,
,arrow-long-up-e,e02e,,
,arrow-long-up-l,e02f,,
,arrow-long-up-r,e030,,
,arrow-right,e034,,
,arrow-right-o,e032,,
,arrow-right-r,e033,,
,arrows-breake-h,e035,,
,arrows-breake-v,e036,,
,arrows-exchange,e038,,
,arrows-exchange-2,e037,,
,arrows-exchange-v,e03a,,
,arrows-exchange-v-2,e039,,
,arrows-expand-down-left,e03b,,
,arrows-expand-down-right,e03c,,
,arrows-expand-left,e03e,,
,arrows-expand-left-2,e03d,,
,arrows-expand-right,e040,,
,arrows-expand-right-2,e03f,,
,arrows-expand-up-left,e041,,
,arrows-expand-up-right,e042,,
,arrows-h,e044,,
,arrows-h-2,e043,,
,arrows-merge-h-2,e045,,
,arrows-merge-v-2,e046,,
,arrows-scroll-h,e047,,
,arrows-scroll-v,e048,,
,arrows-shrink-h,e049,,
,arrows-shrink-v,e04a,,
,arrows-v,e04c,,
,arrows-v-2,e04b,,
,arrow-top-left,e04f,,
,arrow-top-left-o,e04d,,
,arrow-top-left-r,e04e,,
,arrow-top-right,e052,,
,arrow-top-right-o,e050,,
,arrow-top-right-r,e051,,
,arrow-up,e055,,
,arrow-up-o,e053,,
,arrow-up-r,e054,,
,assign,e056,,
,asterisk,e057,,
,atlasian,e058,,
,attachment,e059,,
,attribution,e05a,,
,awards,e05b,,
,backspace,e05c,,
,band-aid,e05d,,
,battery,e060,,
,battery-empty,e05e,,
,battery-full,e05f,,
,bee,e061,,
,bell,e062,,
,bitbucket,e063,,
,block,e064,,
,bmw,e065,,
,board,e066,,
,bolt,e067,,
,bookmark,e068,,
,border-all,e069,,
,border-bottom,e06a,,
,border-left,e06b,,
,border-right,e06c,,
,border-style-dashed,e06d,,
,border-style-dotted,e06e,,
,border-style-solid,e06f,,
,border-top,e070,,
,bot,e071,,
,bowl,e072,,
,box,e073,,
,boy,e074,,
,brackets,e075,,
,briefcase,e076,,
