G,Name,U+,Style,Tags
,alarm-off,e000,,
,alarm-on,e001,,
,align-bottom,e002,,
,align-center-h,e003,,
,align-center-v,e004,,
,align-left,e005,,
,align-right,e006,,
,align-top,e007,,
,apple,e008,,
,at,e009,,
,avocado,e00a,,
,bacon,e00b,,
,badge-dollar,e00c,,
,bag-1,e00d,,
,bandage,e00e,,
,bank,e00f,,
,barcode,e010,,
,baseball,e011,,
,basketball,e012,,
,battery-charging,e013,,
,battery-empty,e014,,
,battery-full,e015,,
,beaker-1,e016,,
,beer-mug-full,e017,,
,bell-off,e018,,
,bell-on,e019,,
,bezier,e01a,,
,bitcoin,e01b,,
,bluetooth,e01c,,
,bookmark,e021,,
,bookmark-check,e01d,,
,bookmark-minus,e01e,,
,bookmark-plus,e01f,,
,bookmark-remove,e020,,
,bowl-noodles,e022,,
,boxes,e023,,
,box-list,e024,,
,brightness-down,e025,,
,brightness-up,e026,,
,bullhorn,e027,,
,burger,e028,,
,calculator-1,e029,,
,calculator-2,e02a,,
,calendar,e02c,,
,calendar-date,e02b,,
,camera,e02d,,
,chat-1,e02e,,
,chat-2,e02f,,
,circle-alert,e030,,
,circle-check,e031,,
,circle-chev-down,e032,,
,circle-chev-left,e033,,
,circle-chev-right,e034,,
,circle-chev-up,e035,,
,circle-info,e036,,
,circle-list,e037,,
,circle-minus,e038,,
,circle-more,e039,,
,circle-plus,e03a,,
,circle-question,e03b,,
,circle-remove,e03c,,
,clock-1,e03d,,
,clock-2,e03e,,
,cloud,e045,,
,cloud-drizzle,e03f,,
,cloud-moon,e040,,
,cloud-off,e041,,
,cloud-on,e042,,
,cloud-rainbow,e043,,
,cloud-sun,e044,,
,coffee-bean,e046,,
,coffee-cup,e047,,
,coin-insert,e048,,
,coins-1,e049,,
,compass-1,e04a,,
,credit-card-1,e04b,,
,credit-card-2,e04c,,
,credit-card-off,e04d,,
,crop,e04e,,
,dark,e04f,,
,database,e050,,
,delivery-truck,e051,,
,desktop,e054,,
,desktop-mouse-1,e052,,
,desktop-mouse-2,e053,,
,discount-1,e055,,
,dollar,e056,,
,droplet,e057,,
,dumbbell,e058,,
,edit,e059,,
,eraser,e05a,,
,export,e05b,,
,facebook,e05c,,
,face-frown,e05d,,
,face-meh,e05e,,
,face-smile,e05f,,
,file-off,e060,,
,file-on,e061,,
,filter,e062,,
,flag-1,e063,,
,floppy-disk,e064,,
,folder-off,e065,,
,folder-on,e066,,
,football,e067,,
,fork-&-knife,e068,,
,fries,e069,,
,gift,e06a,,
,glass,e06b,,
,globe,e06c,,
,gps,e06d,,
,grid-2-h,e06e,,
,grid-2-v,e06f,,
,grid-3-1,e070,,
,grid-3-2,e071,,
,grid-4-1,e072,,
,grid-4-2,e073,,
,hard-drive,e074,,
,hashtag,e075,,
,headphones,e076,,
,heart,e077,,
,home,e078,,
,hospital-1,e079,,
,hotdog,e07a,,
,ice-cream,e07b,,
,image-off,e07c,,
,image-on,e07d,,
,import,e07e,,
,inbox-in,e07f,,
,inbox-out,e080,,
,indent,e081,,
,instagram,e082,,
,keyboard,e083,,
,laptop,e084,,
,lemon,e085,,
,light,e086,,
,line-height,e087,,
,link,e089,,
,linkedin,e088,,
,location-arrow-1,e08a,,
,location-off,e08b,,
,location-on,e08c,,
,lock,e08d,,
,login,e08e,,
,logout,e08f,,
,lollipop,e090,,
,mail,e091,,
,map,e093,,
,map-pin,e092,,
,maximize-1,e094,,
,maximize-2,e095,,
,medal,e096,,
,medical-case,e097,,
,medical-clipboard,e098,,
,medical-cross,e099,,
,medical-mask,e09a,,
,memo-pad,e09b,,
,menu-burger,e09c,,
,menu-fries,e09d,,
,menu-kebab,e09e,,
,microchip,e09f,,
,microphone-off,e0a0,,
,microphone-on,e0a1,,
,minimize-1,e0a2,,
,minimize-2,e0a3,,
,mobile-1,e0a4,,
,mobile-2,e0a5,,
,mobile-3,e0a6,,
,mobile-4,e0a7,,
,money-bill,e0a8,,
,money-check-1,e0a9,,
,monitor,e0aa,,
,mountain-1,e0ab,,
,mug-1,e0ac,,
,music-note-1,e0ad,,
,no-waiting-sign,e0ae,,
,palette,e0af,,
,paperplane,e0b0,,
,parking-1,e0b1,,
,passport-1,e0b2,,
,pause-1,e0b3,,
,pen,e0b5,,
,penpot,e0b4,,
,percent,e0b6,,
,phone,e0b7,,
,picker-empty,e0b8,,
,picker-half,e0b9,,
,pill,e0bb,,
,pills-bottle-1,e0ba,,
,pizza,e0bc,,
,plane,e0bd,,
,play-1,e0be,,
,plug-1,e0bf,,
,power,e0c0,,
,rainbow,e0c1,,
,read,e0c2,,
,receipt,e0c3,,
,redo,e0c4,,
,repeat,e0c5,,
,rolling-suitcase,e0c6,,
,route,e0c8,,
,router,e0c7,,
,ruler,e0c9,,
,satellite-1,e0ca,,
,save-down-1,e0cb,,
,save-down-2,e0cc,,
,save-up-1,e0cd,,
,save-up-2,e0ce,,
,search,e0cf,,
,server,e0d0,,
,settings,e0d1,,
,share-1,e0d2,,
,share-2,e0d3,,
,shirt,e0d4,,
,shop,e0d8,,
,shopping-basket,e0d5,,
,shopping-cart,e0d6,,
,shopping-tag,e0d7,,
,shuffle,e0d9,,
,signpost-duo-1,e0da,,
,signpost-l-1,e0db,,
,signpost-r-1,e0dc,,
,slider-horizontal,e0dd,,
,slider-vertical,e0de,,
,speaker,e0df,,
,square-alert,e0e0,,
,square-check,e0e1,,
,square-chev-down,e0e2,,
,square-chev-left,e0e3,,
,square-chev-right,e0e4,,
,square-chev-up,e0e5,,
,square-info,e0e6,,
,square-minus,e0e7,,
,square-more,e0e8,,
,square-plus,e0e9,,
,square-question,e0ea,,
,square-remove,e0eb,,
,star,e0ec,,
,stethoscope,e0ed,,
,sticky-note,e0ee,,
,stop-1,e0ef,,
,stop-sign-1,e0f0,,
,stopwatch,e0f1,,
,stream-off,e0f2,,
,stream-on,e0f3,,
,sun,e0f4,,
