G,Name,U+,Style,Tags
,activate-breakpoints,e000,,
,add,e001,,
,archive,e002,,
,arrow-both,e003,,
,arrow-circle-down,e004,,
,arrow-circle-left,e005,,
,arrow-circle-right,e006,,
,arrow-circle-up,e007,,
,arrow-down,e008,,
,arrow-left,e009,,
,arrow-right,e00a,,
,arrow-small-down,e00b,,
,arrow-small-left,e00c,,
,arrow-small-right,e00d,,
,arrow-small-up,e00e,,
,arrow-swap,e00f,,
,arrow-up,e010,,
,azure,e012,,
,azure-devops,e011,,
,beaker,e014,,
,beaker-stop,e013,,
,bell,e018,,
,bell-dot,e015,,
,bell-slash,e017,,
,bell-slash-dot,e016,,
,bold,e019,,
,book,e01b,,
,bookmark,e01a,,
,bracket-dot,e01c,,
,bracket-error,e01d,,
,briefcase,e01e,,
,broadcast,e01f,,
,browser,e020,,
,bug,e021,,
,calendar,e022,,
,call-incoming,e023,,
,call-outgoing,e024,,
,case-sensitive,e025,,
,check,e028,,
,check-all,e026,,
,checklist,e027,,
,chevron-down,e029,,
,chevron-left,e02a,,
,chevron-right,e02b,,
,chevron-up,e02c,,
,chip,e02d,,
,chrome-close,e02e,,
,chrome-maximize,e02f,,
,chrome-minimize,e030,,
,chrome-restore,e031,,
,circle,e038,,
,circle-filled,e032,,
,circle-large,e034,,
,circle-large-filled,e033,,
,circle-slash,e035,,
,circle-small,e037,,
,circle-small-filled,e036,,
,circuit-board,e039,,
,clear-all,e03a,,
,clippy,e03b,,
,close,e03d,,
,close-all,e03c,,
,cloud,e03f,,
,cloud-download,e03e,,
,cloud-upload,e040,,
,code,e042,,
,code-oss,e041,,
,coffee,e043,,
,collapse-all,e044,,
,color-mode,e045,,
,combine,e046,,
,comment,e049,,
,comment-discussion,e047,,
,comment-draft,e048,,
,comment-unresolved,e04a,,
,compass,e04d,,
,compass-active,e04b,,
,compass-dot,e04c,,
,copilot,e04e,,
,copy,e04f,,
,coverage,e050,,
,credit-card,e051,,
,dash,e053,,
,dashboard,e052,,
,database,e054,,
,debug,e074,,
,debug-2,e055,,
,debug-3,e056,,
,debug-all,e057,,
,debug-breakpoint-conditional,e058,,
,debug-breakpoint-conditional-unverified,e059,,
,debug-breakpoint-data,e05a,,
,debug-breakpoint-data-unverified,e05b,,
,debug-breakpoint-function,e05c,,
,debug-breakpoint-function-unverified,e05d,,
,debug-breakpoint-log,e05e,,
,debug-breakpoint-log-unverified,e05f,,
,debug-breakpoint-unsupported,e060,,
,debug-console,e061,,
,debug-continue,e063,,
,debug-continue-small,e062,,
,debug-coverage,e064,,
,debug-disconnect,e065,,
,debug-line-by-line,e066,,
,debug-pause,e067,,
,debug-rerun,e068,,
,debug-restart,e06a,,
