G,Name,U+,Style,Tags
,0xbtc,e000,,
,1inch,e001,,
,2give,e002,,
,aave,e003,,
,abt,e004,,
,act,e006,,
,actn,e005,,
,ada,e007,,
,add,e008,,
,adx,e009,,
,ae,e00b,,
,aeon,e00a,,
,aeur,e00c,,
,agi,e00d,,
,agrs,e00e,,
,aion,e00f,,
,algo,e010,,
,amb,e011,,
,amp,e013,,
,ampl,e012,,
,ankr,e014,,
,ant,e015,,
,ape,e016,,
,apex,e017,,
,appc,e018,,
,ardr,e019,,
,arg,e01a,,
,ark,e01b,,
,arn,e01c,,
,arnx,e01d,,
,ary,e01e,,
,ast,e01f,,
,atlas,e020,,
,atm,e021,,
,atom,e022,,
,audr,e023,,
,aury,e024,,
,auto,e025,,
,avax,e026,,
,aywa,e027,,
,bab,e028,,
,bal,e029,,
,band,e02a,,
,bat,e02b,,
,bay,e02c,,
,bcbc,e02d,,
,bcc,e02e,,
,bcd,e02f,,
,bch,e030,,
,bcio,e031,,
,bcn,e032,,
,bco,e033,,
,bcpt,e034,,
,bdl,e035,,
,beam,e036,,
,bela,e037,,
,bix,e038,,
,blcn,e039,,
,blk,e03a,,
,block,e03b,,
,blz,e03c,,
,bnb,e03d,,
,bnt,e03e,,
,bnty,e03f,,
,booty,e040,,
,bos,e041,,
,bpt,e042,,
,bq,e043,,
,brd,e044,,
,bsd,e045,,
,bsv,e046,,
,btc,e04a,,
,btcd,e047,,
,btch,e048,,
,btcp,e049,,
,btcz,e04b,,
,btdx,e04c,,
,btg,e04d,,
,btm,e04e,,
,bts,e04f,,
,btt,e050,,
,btx,e051,,
,burst,e052,,
,bze,e053,,
,call,e054,,
,cc,e055,,
,cdn,e056,,
,cdt,e057,,
,cenz,e058,,
,chain,e059,,
,chat,e05a,,
,chips,e05b,,
,chsb,e05c,,
,chz,e05d,,
,cix,e05e,,
,clam,e05f,,
,cloak,e060,,
,cmm,e061,,
,cmt,e062,,
,cnd,e063,,
,cnx,e064,,
,cny,e065,,
,cob,e066,,
,colx,e067,,
,comp,e068,,
,coqui,e069,,
,cred,e06a,,
,crpt,e06b,,
,crv,e06c,,
,crw,e06d,,
,cs,e06e,,
,ctr,e06f,,
,ctxc,e070,,
,cvc,e071,,
,d,e085,,
,dai,e072,,
,dash,e073,,
,dat,e075,,
,data,e074,,
,dbc,e076,,
,dcn,e077,,
