G,Name,U+,Style,Tags
,adonisjs-original,e000,,
,adonisjs-original-wordmark,e001,,
,aftereffects-plain,e002,,
,akka-plain,e003,,
,akka-plain-wordmark,e004,,
,algolia-original,e005,,
,algolia-original-wordmark,e006,,
,alpinejs-original,e007,,
,alpinejs-original-wordmark,e008,,
,amazonwebservices-plain-wordmark,e009,,
,anaconda-original,e00a,,
,anaconda-original-wordmark,e00b,,
,android-plain,e00c,,
,android-plain-wordmark,e00d,,
,androidstudio-plain,e00e,,
,androidstudio-plain-wordmark,e00f,,
,angularjs-plain,e010,,
,angularjs-plain-wordmark,e011,,
,angularmaterial-plain,e012,,
,angular-plain,e013,,
,angular-plain-wordmark,e014,,
,ansible-plain,e015,,
,ansible-plain-wordmark,e016,,
,antdesign-plain,e017,,
,antdesign-plain-wordmark,e018,,
,apacheairflow-plain,e019,,
,apacheairflow-plain-wordmark,e01a,,
,apachekafka-original,e01b,,
,apachekafka-original-wordmark,e01c,,
,apache-plain,e01d,,
,apache-plain-wordmark,e01e,,
,apachespark-original,e01f,,
,apachespark-plain-wordmark,e020,,
,apl-plain,e021,,
,appcelerator-original,e022,,
,appcelerator-plain-wordmark,e023,,
,apple-original,e024,,
,appwrite-plain,e025,,
,appwrite-plain-wordmark,e026,,
,archlinux-plain,e027,,
,archlinux-plain-wordmark,e028,,
,arduino-plain,e029,,
,arduino-plain-wordmark,e02a,,
,argocd-plain,e02b,,
,argocd-plain-wordmark,e02c,,
,astro-plain,e02d,,
,astro-plain-wordmark,e02e,,
,atom-original,e02f,,
,atom-original-wordmark,e030,,
,awk-plain-wordmark,e031,,
,axios-plain,e032,,
,axios-plain-wordmark,e033,,
,azuredevops-plain,e034,,
,azure-plain,e035,,
,azure-plain-wordmark,e036,,
,azuresqldatabase-plain,e037,,
,babel-plain,e038,,
,backbonejs-plain,e039,,
,backbonejs-plain-wordmark,e03a,,
,ballerina-original,e03b,,
,ballerina-original-wordmark,e03c,,
,bamboo-original,e03d,,
,bamboo-original-wordmark,e03e,,
,bash-plain,e03f,,
,beats-plain,e040,,
,behance-plain,e041,,
,behance-plain-wordmark,e042,,
,bitbucket-original,e043,,
,bitbucket-original-wordmark,e044,,
,blazor-line,e045,,
,blazor-original,e046,,
,blender-original,e047,,
,blender-original-wordmark,e048,,
,bootstrap-plain,e049,,
,bootstrap-plain-wordmark,e04a,,
,bower-line,e04b,,
,bower-line-wordmark,e04c,,
,bower-plain,e04d,,
,bower-plain-wordmark,e04e,,
,browserstack-plain,e04f,,
,browserstack-plain-wordmark,e050,,
,bulma-plain,e051,,
,bun-line,e052,,
,bun-plain,e053,,
,cairo-plain,e054,,
,cairo-plain-wordmark,e055,,
,cakephp-plain,e056,,
,cakephp-plain-wordmark,e057,,
,canva-original,e058,,
,capacitor-plain,e059,,
