G,Name,U+,Style,Tags
,activity,e000,,
,alert-2,e002,,
,alert-2-2,e001,,
,alert-triangle,e004,,
,alert-triangle-2,e003,,
,archive,e006,,
,archive-2,e005,,
,arrow-back,e008,,
,arrow-back-2,e007,,
,arrow-down,e00c,,
,arrow-down-2,e00a,,
,arrow-down-2-2,e009,,
,arrow-down-3,e00b,,
,arrow-downward,e00e,,
,arrow-downward-2,e00d,,
,arrow-forward,e010,,
,arrow-forward-2,e00f,,
,arrowhead-down,e012,,
,arrowhead-down-2,e011,,
,arrowhead-left,e014,,
,arrowhead-left-2,e013,,
,arrowhead-right,e016,,
,arrowhead-right-2,e015,,
,arrowhead-up,e018,,
,arrowhead-up-2,e017,,
,arrow-ios-back,e01a,,
,arrow-ios-back-2,e019,,
,arrow-ios-downward,e01c,,
,arrow-ios-downward-2,e01b,,
,arrow-ios-forward,e01e,,
,arrow-ios-forward-2,e01d,,
,arrow-ios-upward,e020,,
,arrow-ios-upward-2,e01f,,
,arrow-left,e024,,
,arrow-left-2,e022,,
,arrow-left-2-2,e021,,
,arrow-left-3,e023,,
,arrow-right,e028,,
,arrow-right-2,e026,,
,arrow-right-2-2,e025,,
,arrow-right-3,e027,,
,arrow-up,e02c,,
,arrow-up-2,e02a,,
,arrow-up-2-2,e029,,
,arrow-up-3,e02b,,
,arrow-upward,e02e,,
,arrow-upward-2,e02d,,
,at,e030,,
,at-2,e02f,,
,attach,e034,,
,attach-2,e032,,
,attach-2-2,e031,,
,attach-3,e033,,
,award,e036,,
,award-2,e035,,
,backspace,e038,,
,backspace-2,e037,,
,bar-chart,e03c,,
,bar-chart-2,e03a,,
,bar-chart-2-2,e039,,
,bar-chart-3,e03b,,
,battery,e03e,,
,battery-2,e03d,,
,behance,e040,,
,behance-2,e03f,,
,bell,e044,,
,bell-2,e041,,
,bell-off,e043,,
,bell-off-2,e042,,
,bluetooth,e046,,
,bluetooth-2,e045,,
,book,e04c,,
,book-2,e047,,
,bookmark,e049,,
,bookmark-2,e048,,
,book-open,e04b,,
,book-open-2,e04a,,
,briefcase,e04e,,
,briefcase-2,e04d,,
,browser,e050,,
,browser-2,e04f,,
,brush,e052,,
,brush-2,e051,,
,bulb,e054,,
,bulb-2,e053,,
,calendar,e056,,
,calendar-2,e055,,
,camera,e058,,
,camera-2,e057,,
,car,e05a,,
,car-2,e059,,
,cast,e05c,,
,cast-2,e05b,,
,charging,e05e,,
,charging-2,e05d,,
,checkmark,e067,,
,checkmark-2,e061,,
,checkmark-2-2,e060,,
,checkmark-2-2-2,e05f,,
,checkmark-3,e062,,
,checkmark-square,e066,,
,checkmark-square-2,e064,,
,checkmark-square-2-2,e063,,
,checkmark-square-3,e065,,
,chevron-down,e069,,
,chevron-down-2,e068,,
,chevron-left,e06b,,
,chevron-left-2,e06a,,
,chevron-right,e06d,,
,chevron-right-2,e06c,,
,chevron-up,e06f,,
,chevron-up-2,e06e,,
,clipboard,e071,,
,clipboard-2,e070,,
,clock,e073,,
,clock-2,e072,,
,close,e079,,
,close-2,e075,,
,close-2-2,e074,,
,close-3,e076,,
,close-square,e078,,
,close-square-2,e077,,
,cloud-download,e07b,,
,cloud-download-2,e07a,,
,cloud-upload,e07d,,
,cloud-upload-2,e07c,,
,code,e081,,
,code-2,e07e,,
,code-download,e080,,
,code-download-2,e07f,,
,collapse,e083,,
,collapse-2,e082,,
,color-palette,e085,,
,color-palette-2,e084,,
,color-picker,e087,,
