G,Name,U+,Style,Tags
,airplay,e000,,
,alert-circle,e001,,
,alert-octagon,e002,,
,alert-triangle,e003,,
,align-center,e004,,
,align-justify,e005,,
,align-left,e006,,
,align-right,e007,,
,anchor,e008,,
,aperture,e009,,
,archive,e00a,,
,arrow-down,e00e,,
,arrow-down-circle,e00b,,
,arrow-down-left,e00c,,
,arrow-down-right,e00d,,
,arrow-left,e010,,
,arrow-left-circle,e00f,,
,arrow-right,e012,,
,arrow-right-circle,e011,,
,arrow-up,e016,,
,arrow-up-circle,e013,,
,arrow-up-left,e014,,
,arrow-up-right,e015,,
,at-sign,e017,,
,award,e018,,
,bar-chart,e01a,,
,bar-chart-2,e019,,
,battery,e01c,,
,battery-charging,e01b,,
,bell,e01e,,
,bell-off,e01d,,
,bluetooth,e01f,,
,bold,e020,,
,book,e023,,
,bookmark,e021,,
,book-open,e022,,
,box,e024,,
,briefcase,e025,,
,calendar,e026,,
,camera,e028,,
,camera-off,e027,,
,cast,e029,,
,check,e02c,,
,check-circle,e02a,,
,check-square,e02b,,
,chevron-down,e02d,,
,chevron-left,e02e,,
,chevron-right,e02f,,
,chevrons-down,e030,,
,chevrons-left,e031,,
,chevrons-right,e032,,
,chevrons-up,e033,,
,chevron-up,e034,,
,chrome,e035,,
,circle,e036,,
,clipboard,e037,,
,clock,e038,,
,cloud,e03e,,
,cloud-drizzle,e039,,
,cloud-lightning,e03a,,
,cloud-off,e03b,,
,cloud-rain,e03c,,
,cloud-snow,e03d,,
,code,e041,,
,codepen,e03f,,
,codesandbox,e040,,
,coffee,e042,,
,columns,e043,,
,command,e044,,
,compass,e045,,
,copy,e046,,
,corner-down-left,e047,,
,corner-down-right,e048,,
,corner-left-down,e049,,
,corner-left-up,e04a,,
,corner-right-down,e04b,,
,corner-right-up,e04c,,
,corner-up-left,e04d,,
,corner-up-right,e04e,,
,cpu,e04f,,
,credit-card,e050,,
,crop,e051,,
,crosshair,e052,,
,database,e053,,
,delete,e054,,
,disc,e055,,
,divide,e058,,
,divide-circle,e056,,
,divide-square,e057,,
,dollar-sign,e059,,
,download,e05b,,
,download-cloud,e05a,,
,dribbble,e05c,,
,droplet,e05d,,
,edit,e060,,
,edit-2,e05e,,
,edit-3,e05f,,
,external-link,e061,,
,eye,e063,,
,eye-off,e062,,
,facebook,e064,,
,fast-forward,e065,,
,feather,e066,,
,figma,e067,,
,file,e06a,,
,file-minus,e068,,
,file-plus,e069,,
,file-text,e06b,,
,film,e06c,,
,filter,e06d,,
,flag,e06e,,
,folder,e071,,
,folder-minus,e06f,,
,folder-plus,e070,,
,framer,e072,,
,frown,e073,,
,gift,e074,,
,git-branch,e075,,
,git-commit,e076,,
,github,e077,,
,gitlab,e078,,
,git-merge,e079,,
,git-pull-request,e07a,,
,globe,e07b,,
,grid,e07c,,
,hard-drive,e07d,,
,hash,e07e,,
,headphones,e07f,,
,heart,e080,,
,help-circle,e081,,
,hexagon,e082,,
,home,e083,,
,image,e084,,
,inbox,e085,,
,info,e086,,
,instagram,e087,,
,italic,e088,,
,key,e089,,
,layers,e08a,,
