G,Name,U+,Style,Tags
,1c,e000,,
,3d-model,e001,,
,3ds-max,e002,,
,4d,e003,,
,a+,e055,,
,abap,e004,,
,abif,e005,,
,acre,e006,,
,actionscript,e007,,
,ada,e008,,
,adobe,e01d,,
,adobe-acrobat,e009,,
,adobe-aftereffects,e00a,,
,adobe-animate,e00b,,
,adobe-audition,e00c,,
,adobe-bridge,e00d,,
,adobe-characteranimator,e00e,,
,adobe-creativecloud,e00f,,
,adobe-dimension,e010,,
,adobe-dreamweaver,e011,,
,adobe-flash,e012,,
,adobe-fuse,e013,,
,adobe-illustrator,e014,,
,adobe-incopy,e015,,
,adobe-indesign,e016,,
,adobe-lightroom,e017,,
,adobe-mediaencoder,e018,,
,adobe-photoshop,e019,,
,adobe-prelude,e01a,,
,adobe-premiere,e01c,,
,adobe-premiererush,e01b,,
,adobe-xd,e01e,,
,adonisjs,e01f,,
,aeternity,e020,,
,affectscript,e021,,
,affinitydesigner,e022,,
,agc,e023,,
,agda,e024,,
,akka,e025,,
,alacritty,e027,,
,alacritty-alt,e026,,
,alex,e028,,
,alloy,e029,,
,alpine-linux,e02a,,
,amd,e02b,,
,amigaos,e02c,,
,ampl,e02d,,
,amusewiki,e02e,,
,analytica,e02f,,
,angelscript,e030,,
,animestudio,e031,,
,ansible,e033,,
,ansible-alt,e032,,
,antlr,e034,,
,antwar,e035,,
,anyscript,e036,,
,apache-ant,e037,,
,api-blueprint,e038,,
,apiextractor,e039,,
,apl,e03b,,
,apl-old,e03a,,
,apollo,e03c,,
,apple,e03d,,
,appveyor,e03e,,
,arc,e040,,
,arch-linux,e03f,,
,arduino,e041,,
,arm,e042,,
,arttext,e044,,
,arttext4,e043,,
,asciidoc,e045,,
,asciidoctor,e046,,
,assembly-agc,e047,,
,assembly-amd,e048,,
,assembly-arm,e049,,
,assembly-att,e04a,,
,assembly-avr,e04b,,
,assembly-generic,e04c,,
,assembly-hitachi,e04d,,
,assembly-intel,e04e,,
,assembly-motorola,e04f,,
,assembly-powerpc,e050,,
,assembly-riscv,e051,,
,assembly-sparc,e052,,
,assembly-vax,e053,,
,assembly-zilog,e054,,
,asymptote,e057,,
,asymptote-alt,e056,,
,atoum,e058,,
,ats,e059,,
,att,e05a,,
,audacity,e05b,,
,augeas,e05c,,
,aurelia,e05d,,
,autohotkey,e05e,,
,autoit,e05f,,
,automator,e060,,
,avr,e062,,
,avro,e061,,
,awk,e063,,
,azure-pipelines,e064,,
,babel,e065,,
,ballerina,e066,,
,bazaar,e067,,
,bazel,e069,,
,bazel-old,e068,,
,behat,e06a,,
,bem,e06b,,
,bibtex,e06c,,
,bikeshed,e06d,,
,biml,e06e,,
,binder,e06f,,
,bintray,e070,,
,bison,e071,,
,bithound,e072,,
,blender,e073,,
,blitzbasic,e074,,
,bloc,e075,,
,bluespec,e076,,
,bnf,e077,,
,boo,e078,,
,bors,e079,,
,bosque,e07a,,
,brainfuck,e07b,,
,brakeman,e07c,,
,bro,e07e,,
,broccoli,e07d,,
,brotli,e080,,
,brotli-old,e07f,,
,browserslist,e081,,
,browsersync,e082,,
,brunch,e083,,
,buck,e084,,
,build-boot,e085,,
,buildkite,e086,,
,bundler,e087,,
,byond,e088,,
,c#,e0d5,,
,c++,e0d6,,
,cabal,e089,,
,caddy,e08b,,
,caddy-old,e08a,,
,caffe,e08d,,
,caffe2,e08c,,
,cairo,e08e,,
,cake,e092,,
,cakefile,e08f,,
,cakephp,e091,,
,cakephp-old,e090,,
,calva,e093,,
,carthage,e094,,
,casc,e095,,
,cdf,e096,,
,ceylon,e097,,
,chai,e098,,
