G,Name,U+,Style,Tags
,alarm,e001,,
,alarm-4,e000,,
,alt,e002,,
,ant,e006,,
,ant-2,e003,,
,ant-4,e004,,
,antenna-radiowaves-left-right,e005,,
,app,e00a,,
,app-4,e007,,
,app-badge,e009,,
,app-badge-4,e008,,
,archivebox,e00c,,
,archivebox-4,e00b,,
,arrow-2path,e00e,,
,arrow-2path-2,e00d,,
,arrow-3-trianglepath,e00f,,
,arrow-branch,e010,,
,arrow-clockwise,e013,,
,arrow-clockwise-2,e011,,
,arrow-clockwise-4,e012,,
,arrow-counterclockwise,e016,,
,arrow-counterclockwise-2,e014,,
,arrow-counterclockwise-4,e015,,
,arrow-down,e028,,
,arrow-down-2,e017,,
,arrow-down-3,e018,,
,arrow-down-4,e019,,
,arrow-down-5,e01a,,
,arrow-down-doc,e01c,,
,arrow-down-doc-4,e01b,,
,arrow-down-left,e021,,
,arrow-down-left-2,e01d,,
,arrow-down-left-3,e01e,,
,arrow-down-left-4,e01f,,
,arrow-down-left-5,e020,,
,arrow-down-right,e027,,
,arrow-down-right-2,e022,,
,arrow-down-right-3,e023,,
,arrow-down-right-4,e024,,
,arrow-down-right-5,e025,,
,arrow-down-right-arrow-up-left,e026,,
,arrow-down-to-line,e02a,,
,arrow-down-to-line-2,e029,,
,arrow-left,e034,,
,arrow-left-2,e02b,,
,arrow-left-3,e02c,,
,arrow-left-4,e02d,,
,arrow-left-5,e02e,,
,arrow-left-right,e033,,
,arrow-left-right-2,e02f,,
,arrow-left-right-3,e030,,
,arrow-left-right-4,e031,,
,arrow-left-right-5,e032,,
,arrow-left-to-line,e036,,
,arrow-left-to-line-2,e035,,
,arrow-merge,e037,,
,arrowpath,e038,,
,arrow-right,e042,,
,arrow-right-2,e039,,
,arrow-right-3,e03a,,
,arrow-right-4,e03b,,
,arrow-right-5,e03c,,
,arrow-right-arrow-left,e041,,
,arrow-right-arrow-left-2,e03d,,
,arrow-right-arrow-left-3,e03e,,
,arrow-right-arrow-left-4,e03f,,
,arrow-right-arrow-left-5,e040,,
,arrow-right-to-line,e044,,
,arrow-right-to-line-2,e043,,
,arrowshape-turn-up-left,e048,,
,arrowshape-turn-up-left-2,e045,,
,arrowshape-turn-up-left-3,e046,,
,arrowshape-turn-up-left-4,e047,,
,arrowshape-turn-up-right,e04b,,
,arrowshape-turn-up-right-2,e049,,
,arrowshape-turn-up-right-4,e04a,,
,arrow-swap,e04c,,
,arrowtriangle-down,e051,,
,arrowtriangle-down-2,e04d,,
,arrowtriangle-down-3,e04e,,
,arrowtriangle-down-4,e04f,,
,arrowtriangle-down-5,e050,,
,arrowtriangle-left,e056,,
,arrowtriangle-left-2,e052,,
,arrowtriangle-left-3,e053,,
,arrowtriangle-left-4,e054,,
,arrowtriangle-left-5,e055,,
,arrowtriangle-right,e05b,,
,arrowtriangle-right-2,e057,,
,arrowtriangle-right-3,e058,,
,arrowtriangle-right-4,e059,,
,arrowtriangle-right-5,e05a,,
,arrowtriangle-up,e060,,
,arrowtriangle-up-2,e05c,,
,arrowtriangle-up-3,e05d,,
,arrowtriangle-up-4,e05e,,
,arrowtriangle-up-5,e05f,,
,arrow-turn-down-left,e061,,
,arrow-turn-down-right,e062,,
,arrow-turn-left-down,e063,,
,arrow-turn-left-up,e064,,
,arrow-turn-right-down,e065,,
,arrow-turn-right-up,e066,,
,arrow-turn-up-left,e067,,
,arrow-turn-up-right,e068,,
,arrow-up,e088,,
,arrow-up-2,e069,,
,arrow-up-3,e06a,,
,arrow-up-4,e06b,,
,arrow-up-5,e06c,,
,arrow-up-arrow-down,e071,,
,arrow-up-arrow-down-2,e06d,,
,arrow-up-arrow-down-3,e06e,,
,arrow-up-arrow-down-4,e06f,,
,arrow-up-arrow-down-5,e070,,
,arrow-up-bin,e073,,
,arrow-up-bin-4,e072,,
,arrow-up-doc,e075,,
,arrow-up-doc-4,e074,,
,arrow-up-down,e07a,,
,arrow-up-down-2,e076,,
,arrow-up-down-3,e077,,
,arrow-up-down-4,e078,,
,arrow-up-down-5,e079,,
,arrow-up-left,e080,,
,arrow-up-left-2,e07b,,
,arrow-up-left-3,e07c,,
,arrow-up-left-4,e07d,,
,arrow-up-left-5,e07e,,
,arrow-up-left-arrow-down-right,e07f,,
,arrow-up-right,e087,,
,arrow-up-right-2,e081,,
,arrow-up-right-3,e082,,
,arrow-up-right-4,e083,,
,arrow-up-right-5,e084,,
,arrow-up-right-diamond,e086,,
,arrow-up-right-diamond-4,e085,,
,arrow-up-to-line,e08a,,
,arrow-up-to-line-2,e089,,
,arrow-uturn-down,e08f,,
,arrow-uturn-down-2,e08b,,
,arrow-uturn-down-3,e08c,,
,arrow-uturn-down-4,e08d,,
,arrow-uturn-down-5,e08e,,
,arrow-uturn-left,e094,,
,arrow-uturn-left-2,e090,,
,arrow-uturn-left-3,e091,,
,arrow-uturn-left-4,e092,,
,arrow-uturn-left-5,e093,,
,arrow-uturn-right,e099,,
,arrow-uturn-right-2,e095,,
,arrow-uturn-right-3,e096,,
,arrow-uturn-right-4,e097,,
,arrow-uturn-right-5,e098,,
,arrow-uturn-up,e09e,,
,arrow-uturn-up-2,e09a,,
,arrow-uturn-up-3,e09b,,
,arrow-uturn-up-4,e09c,,
,arrow-uturn-up-5,e09d,,
,asterisk,e0a0,,
,asterisk-2,e09f,,
,at,e0a6,,
,at-2,e0a1,,
,at-3,e0a2,,
,at-4,e0a3,,
,at-badge-minus,e0a4,,
,at-badge-plus,e0a5,,
,backward,e0ac,,
,backward-4,e0a7,,
,backward-end,e0ab,,
,backward-end-2,e0a8,,
,backward-end-4,e0aa,,
,backward-end-4-2,e0a9,,
,badge-plus-radiowaves-right,e0ad,,
,bag,e0b3,,
,bag-4,e0ae,,
,bag-badge-minus,e0b0,,
,bag-badge-minus-4,e0af,,
,bag-badge-plus,e0b2,,
,bag-badge-plus-4,e0b1,,
,bandage,e0b5,,
,bandage-4,e0b4,,
,barcode,e0b6,,
,barcode-viewfinder,e0b7,,
,bars,e0b8,,
,battery-0,e0b9,,
,battery-100,e0ba,,
,battery-25,e0bb,,
,bed-double,e0bd,,
,bed-double-4,e0bc,,
,bell,e0c2,,
,bell-2,e0be,,
,bell-4,e0bf,,
,bell-slash,e0c1,,
,bell-slash-4,e0c0,,
,bin-xmark,e0c4,,
,bin-xmark-4,e0c3,,
,bitcoin,e0c7,,
,bitcoin-2,e0c5,,
,bitcoin-4,e0c6,,
,bold,e0c9,,
,bold-italic-underline,e0c8,,
,bold-underline,e0ca,,
,bolt,e0d4,,
,bolt-2,e0cb,,
,bolt-4,e0cc,,
,bolt-badge-a,e0ce,,
,bolt-badge-a-4,e0cd,,
,bolt-horizontal,e0d1,,
,bolt-horizontal-2,e0cf,,
,bolt-horizontal-4,e0d0,,
,bolt-slash,e0d3,,
,bolt-slash-4,e0d2,,
,book,e0d9,,
,book-2,e0d5,,
,book-4,e0d6,,
,bookmark,e0d8,,
,bookmark-4,e0d7,,
,briefcase,e0db,,
,briefcase-4,e0da,,
,bubble-left,e0df,,
,bubble-left-4,e0dc,,
,bubble-left-bubble-right,e0de,,
,bubble-left-bubble-right-4,e0dd,,
,bubble-middle-bottom,e0e1,,
,bubble-middle-bottom-4,e0e0,,
