G,Name,U+,Style,Tags
,academic-cap,e000,,
,adjustments-horizontal,e002,,
,adjustments-horizontal-2,e001,,
,adjustments-vertical,e004,,
,adjustments-vertical-2,e003,,
,archive-box,e008,,
,archive-box-2,e005,,
,archive-box-arrow-down,e007,,
,archive-box-arrow-down-2,e006,,
,archive-box-x-mark,e00a,,
,archive-box-x-mark-2,e009,,
,arrow-down,e016,,
,arrow-down-2,e00b,,
,arrow-down-3,e00c,,
,arrow-down-4,e00d,,
,arrow-down-left,e00f,,
,arrow-down-left-2,e00e,,
,arrow-down-on,e013,,
,arrow-down-on-2,e010,,
,arrow-down-on-stack,e012,,
,arrow-down-on-stack-2,e011,,
,arrow-down-right,e015,,
,arrow-down-right-2,e014,,
,arrow-down-tray,e018,,
,arrow-down-tray-2,e017,,
,arrow-left,e022,,
,arrow-left-2,e019,,
,arrow-left-3,e01a,,
,arrow-left-4,e01b,,
,arrow-left-end-on-rectangle,e01d,,
,arrow-left-end-on-rectangle-2,e01c,,
,arrow-left-on-rectangle,e01f,,
,arrow-left-on-rectangle-2,e01e,,
,arrow-left-start-on-rectangle,e021,,
,arrow-left-start-on-rectangle-2,e020,,
,arrow-long-down,e024,,
,arrow-long-down-2,e023,,
,arrow-long-left,e026,,
,arrow-long-left-2,e025,,
,arrow-long-right,e028,,
,arrow-long-right-2,e027,,
,arrow-long-up,e02a,,
,arrow-long-up-2,e029,,
,arrow-path,e02e,,
,arrow-path-2,e02b,,
,arrow-path-rounded,e02d,,
,arrow-path-rounded-2,e02c,,
,arrow-right,e038,,
,arrow-right-2,e02f,,
,arrow-right-3,e030,,
,arrow-right-4,e031,,
,arrow-right-end-on-rectangle,e033,,
,arrow-right-end-on-rectangle-2,e032,,
,arrow-right-on-rectangle,e035,,
,arrow-right-on-rectangle-2,e034,,
,arrow-right-start-on-rectangle,e037,,
,arrow-right-start-on-rectangle-2,e036,,
,arrow-small-down,e03a,,
,arrow-small-down-2,e039,,
,arrow-small-left,e03c,,
,arrow-small-left-2,e03b,,
,arrow-small-right,e03e,,
,arrow-small-right-2,e03d,,
,arrow-small-up,e040,,
,arrow-small-up-2,e03f,,
,arrows-pointing-in,e042,,
,arrows-pointing-in-2,e041,,
,arrows-pointing-out,e044,,
,arrows-pointing-out-2,e043,,
,arrows-right-left,e046,,
,arrows-right-left-2,e045,,
,arrows-up-down,e048,,
,arrows-up-down-2,e047,,
,arrow-top-right-on,e04a,,
,arrow-top-right-on-2,e049,,
,arrow-trending-down,e04c,,
,arrow-trending-down-2,e04b,,
,arrow-trending-up,e04e,,
,arrow-trending-up-2,e04d,,
,arrow-up,e05a,,
,arrow-up-2,e04f,,
,arrow-up-3,e050,,
,arrow-up-4,e051,,
,arrow-up-left,e053,,
,arrow-up-left-2,e052,,
,arrow-up-on,e057,,
,arrow-up-on-2,e054,,
,arrow-up-on-stack,e056,,
,arrow-up-on-stack-2,e055,,
,arrow-up-right,e059,,
,arrow-up-right-2,e058,,
,arrow-up-tray,e05c,,
,arrow-up-tray-2,e05b,,
,arrow-uturn-down,e05e,,
,arrow-uturn-down-2,e05d,,
,arrow-uturn-left,e060,,
,arrow-uturn-left-2,e05f,,
,arrow-uturn-right,e062,,
,arrow-uturn-right-2,e061,,
,arrow-uturn-up,e064,,
,arrow-uturn-up-2,e063,,
,at-symbol,e066,,
,at-symbol-2,e065,,
,backspace,e068,,
,backspace-2,e067,,
,backward,e06a,,
,backward-2,e069,,
,banknotes,e06c,,
,banknotes-2,e06b,,
,bars-2,e06e,,
,bars-2-2,e06d,,
,bars-3,e076,,
,bars-3-2,e06f,,
,bars-3-bottom-left,e071,,
,bars-3-bottom-left-2,e070,,
,bars-3-bottom-right,e073,,
,bars-3-bottom-right-2,e072,,
,bars-3-center-left,e075,,
,bars-3-center-left-2,e074,,
,bars-4,e078,,
,bars-4-2,e077,,
,bars-arrow-down,e07a,,
,bars-arrow-down-2,e079,,
,bars-arrow-up,e07c,,
,bars-arrow-up-2,e07b,,
,battery-0,e07e,,
,battery-0-2,e07d,,
,battery-100,e080,,
,battery-100-2,e07f,,
,battery-50,e082,,
,battery-50-2,e081,,
,beaker,e084,,
,beaker-2,e083,,
,bell,e08c,,
,bell-2,e085,,
,bell-alert,e087,,
,bell-alert-2,e086,,
,bell-slash,e089,,
,bell-slash-2,e088,,
,bell-snooze,e08b,,
,bell-snooze-2,e08a,,
,bolt,e090,,
,bolt-2,e08d,,
,bolt-slash,e08f,,
,bolt-slash-2,e08e,,
,bookmar-3,e091,,
,bookmark,e095,,
,bookmark-2,e092,,
,bookmark-slash,e094,,
,bookmark-slash-2,e093,,
,book-open,e097,,
,book-open-2,e096,,
,briefcase,e099,,
,briefcase-2,e098,,
,bug-ant,e09b,,
,bug-ant-2,e09a,,
,building-library,e09d,,
,building-library-2,e09c,,
,building-office,e0a1,,
,building-office-2,e09f,,
,building-office-2-2,e09e,,
,building-office-3,e0a0,,
,building-storefront,e0a3,,
,building-storefront-2,e0a2,,
,cake,e0a5,,
,cake-2,e0a4,,
,calculator,e0a7,,
,calculator-2,e0a6,,
,calendar,e0ab,,
,calendar-2,e0a8,,
,calendar-days,e0aa,,
,calendar-days-2,e0a9,,
,camera,e0ad,,
,camera-2,e0ac,,
,chart-bar,e0b0,,
,chart-bar-2,e0ae,,
,chart-bar-3,e0af,,
,chart-pie,e0b2,,
,chart-pie-2,e0b1,,
,chat-bubble-bottom-center,e0b4,,
,chat-bubble-bottom-center-2,e0b3,,
,chat-bubble-bottom-center-text,e0b6,,
,chat-bubble-bottom-center-text-2,e0b5,,
,chat-bubble-left,e0bc,,
,chat-bubble-left-2,e0b7,,
,chat-bubble-left-ellipsis,e0b9,,
,chat-bubble-left-ellipsis-2,e0b8,,
,chat-bubble-left-right,e0bb,,
,chat-bubble-left-right-2,e0ba,,
,chat-bubble-oval-left,e0c0,,
,chat-bubble-oval-left-2,e0bd,,
,chat-bubble-oval-left-ellipsis,e0bf,,
,chat-bubble-oval-left-ellipsis-2,e0be,,
,check,e0c6,,
,check-2,e0c1,,
,check-3,e0c2,,
,check-4,e0c3,,
,check-badge,e0c5,,
,check-badge-2,e0c4,,
,chevron-double-down,e0c8,,
,chevron-double-down-2,e0c7,,
,chevron-double-left,e0ca,,
,chevron-double-left-2,e0c9,,
,chevron-double-right,e0cc,,
,chevron-double-right-2,e0cb,,
,chevron-double-up,e0ce,,
,chevron-double-up-2,e0cd,,
,chevron-down,e0d0,,
,chevron-down-2,e0cf,,
,chevron-left,e0d2,,
,chevron-left-2,e0d1,,
,chevron-right,e0d4,,
,chevron-right-2,e0d3,,
,chevron-up,e0d8,,
,chevron-up-2,e0d5,,
,chevron-up-down,e0d7,,
,chevron-up-down-2,e0d6,,
,circle-stack,e0da,,
,circle-stack-2,e0d9,,
,clipboard,e0e2,,
,clipboard-2,e0db,,
,clipboard-document,e0e1,,
,clipboard-document-2,e0dc,,
,clipboard-document-check,e0de,,
,clipboard-document-check-2,e0dd,,
,clipboard-document-list,e0e0,,
,clipboard-document-list-2,e0df,,
,clock,e0e4,,
,clock-2,e0e3,,
,cloud,e0ea,,
,cloud-2,e0e5,,
,cloud-arrow-down,e0e7,,
,cloud-arrow-down-2,e0e6,,
,cloud-arrow-up,e0e9,,
,cloud-arrow-up-2,e0e8,,
,code-bracket,e0ed,,
,code-bracket-2,e0eb,,
,code-bracket-3,e0ec,,
,cog,e0f3,,
,cog-2,e0ee,,
,cog-6-tooth,e0f0,,
,cog-6-tooth-2,e0ef,,
,cog-8-tooth,e0f2,,
,cog-8-tooth-2,e0f1,,
,command-line,e0f5,,
,command-line-2,e0f4,,
,computer-desktop,e0f7,,
,computer-desktop-2,e0f6,,
,cpu-chip,e0f9,,
,cpu-chip-2,e0f8,,
,credit-card,e0fb,,
,credit-card-2,e0fa,,
,cube,e0fd,,
,cube-2,e0fc,,
,cube-transparent,e0ff,,
,cube-transparent-2,e0fe,,
,currency-bangladeshi,e101,,
,currency-bangladeshi-2,e100,,
,currency-dollar,e103,,
,currency-dollar-2,e102,,
,currency-euro,e105,,
,currency-euro-2,e104,,
,currency-pound,e107,,
,currency-pound-2,e106,,
,currency-rupee,e109,,
,currency-rupee-2,e108,,
,currency-yen,e10b,,
,currency-yen-2,e10a,,
,cursor-arrow-rays,e10d,,
,cursor-arrow-rays-2,e10c,,
,cursor-arrow-ripple,e10f,,
,cursor-arrow-ripple-2,e10e,,
,device-phone-mobile,e111,,
,device-phone-mobile-2,e110,,
,device-tablet,e113,,
,device-tablet-2,e112,,
,document,e125,,
,document-2,e114,,
,document-arrow-down,e116,,
,document-arrow-down-2,e115,,
,document-arrow-up,e118,,
,document-arrow-up-2,e117,,
,document-chart-bar,e11a,,
,document-chart-bar-2,e119,,
,document-check,e11c,,
,document-check-2,e11b,,
,document-duplicate,e11e,,
,document-duplicate-2,e11d,,
,document-magnifying-glass,e120,,
,document-magnifying-glass-2,e11f,,
,document-minus,e122,,
,document-minus-2,e121,,
,document-plus,e124,,
,document-plus-2,e123,,
,document-text,e127,,
,document-text-2,e126,,
,ellipsis-horizontal,e12b,,
,ellipsis-horizontal-2,e128,,
,ellipsis-horizontal-3,e129,,
,ellipsis-horizontal-4,e12a,,
,ellipsis-vertical,e12d,,
,ellipsis-vertical-2,e12c,,
,envelope,e131,,
,envelope-2,e12e,,
,envelope-open,e130,,
,envelope-open-2,e12f,,
,exclamation,e133,,
,exclamation-2,e132,,
,exclamation-triangle,e135,,
,exclamation-triangle-2,e134,,
,eye,e13b,,
,eye-2,e136,,
,eye-dropper,e138,,
,eye-dropper-2,e137,,
,eye-slash,e13a,,
,eye-slash-2,e139,,
,face-frown,e13d,,
,face-frown-2,e13c,,
,face-smile,e13f,,
,face-smile-2,e13e,,
,film,e141,,
,film-2,e140,,
,finger-print,e143,,
