G,Name,U+,Style,Tags
,abnormal,e001,,
,abnormal-2,e000,,
,a-cane,e002,,
,acceleration,e004,,
,acceleration-2,e003,,
,accept-email,e005,,
,acoustic,e006,,
,activity-source,e008,,
,activity-source-2,e007,,
,ad,e037,,
,ad-2,e009,,
,add,e020,,
,add-2,e00a,,
,add-computer,e00b,,
,add-four,e00c,,
,add-item,e00e,,
,add-item-2,e00d,,
,add-mode,e010,,
,add-mode-2,e00f,,
,add-music,e012,,
,add-music-2,e011,,
,add-one,e014,,
,add-one-2,e013,,
,add-pic,e016,,
,add-pic-2,e015,,
,add-picture,e017,,
,add-print,e019,,
,add-print-2,e018,,
,address-book,e01b,,
,address-book-2,e01a,,
,add-subset,e01d,,
,add-subset-2,e01c,,
,add-subtract,e01f,,
,add-subtract-2,e01e,,
,add-text,e021,,
,add-text-two,e023,,
,add-text-two-2,e022,,
,add-three,e024,,
,add-two,e025,,
,add-user,e027,,
,add-user-2,e026,,
,add-web,e029,,
,add-web-2,e028,,
,adjacent-item,e02b,,
,adjacent-item-2,e02a,,
,adjustment,e02d,,
,adjustment-2,e02c,,
,adobe-illustrate,e02f,,
,adobe-illustrate-2,e02e,,
,adobe-indesign,e031,,
,adobe-indesign-2,e030,,
,adobe-lightroom,e033,,
,adobe-lightroom-2,e032,,
,adobe-photoshop,e035,,
,adobe-photoshop-2,e034,,
,ad-product,e036,,
,afferent,e039,,
,afferent-four,e038,,
,afferent-three,e03a,,
,afferent-two,e03b,,
,afro-pick,e03d,,
,afro-pick-2,e03c,,
,agreement,e03f,,
,agreement-2,e03e,,
,aiming,e040,,
,air-bike,e042,,
,air-bike-2,e041,,
,air-conditioning,e044,,
,air-conditioning-2,e043,,
,airplane,e046,,
,airplane-2,e045,,
,airplane-window,e04a,,
,airplane-window-2,e047,,
,airplane-window-one,e049,,
,airplane-window-one-2,e048,,
,airplay,e04c,,
,airplay-2,e04b,,
,airpods,e04e,,
,airpods-2,e04d,,
