G,Name,U+,Style,Tags
,accessibility,e000,,
,accessibility-tech,e001,,
,activity,e002,,
,adobe-after-effects,e004,,
,adobe-after-effects-2,e003,,
,adobe-illustrator,e006,,
,adobe-illustrator-2,e005,,
,adobe-indesign,e008,,
,adobe-indesign-2,e007,,
,adobe-lightroom,e00a,,
,adobe-lightroom-2,e009,,
,adobe-photoshop,e00c,,
,adobe-photoshop-2,e00b,,
,adobe-xd,e00e,,
,adobe-xd-2,e00d,,
,african-tree,e00f,,
,agile,e010,,
,air-conditioner,e011,,
,airplane,e016,,
,airplane-helix,e013,,
,airplane-helix-45deg,e012,,
,airplane-off,e014,,
,airplane-rotation,e015,,
,airplay,e018,,
,airplay-2,e017,,
,alarm,e01a,,
,alarm-2,e019,,
,album,e01e,,
,album-carousel,e01b,,
,album-list,e01c,,
,album-open,e01d,,
,align-bottom-box,e020,,
,align-bottom-box-2,e01f,,
,align-center,e021,,
,align-horizontal-centers,e023,,
,align-horizontal-centers-2,e022,,
,align-horizontal-spacing,e025,,
,align-horizontal-spacing-2,e024,,
,align-justify,e026,,
,align-left,e029,,
,align-left-box,e028,,
,align-left-box-2,e027,,
,align-right,e02c,,
,align-right-box,e02b,,
,align-right-box-2,e02a,,
,align-top-box,e02e,,
,align-top-box-2,e02d,,
,align-vertical-centers,e030,,
,align-vertical-centers-2,e02f,,
,align-vertical-spacing,e032,,
,align-vertical-spacing-2,e031,,
,angle-tool,e033,,
,antenna,e037,,
,antenna-off,e034,,
,antenna-signal,e035,,
,antenna-signal-tag,e036,,
,apple,e03e,,
,apple-half,e038,,
,apple-imac-2021,e03a,,
,apple-imac-2021-side,e039,,
,apple-mac,e03b,,
,apple-shortcuts,e03d,,
,apple-shortcuts-2,e03c,,
,apple-swift,e03f,,
,apple-wallet,e040,,
,app-notification,e042,,
,app-notification-2,e041,,
,app-store,e044,,
,app-store-2,e043,,
,app-window,e045,,
,arc-3d,e047,,
,arc-3d-center-point,e046,,
,arcade,e048,,
,archery,e04a,,
,archery-match,e049,,
,archive,e04b,,
,area-search,e04c,,
,arrow-archery,e04d,,
,arrow-down,e059,,
,arrow-down-2,e04e,,
,arrow-down-3,e04f,,
,arrow-down-left,e053,,
,arrow-down-left-2,e050,,
,arrow-down-left-3,e051,,
,arrow-down-left-4,e052,,
,arrow-down-right,e058,,
,arrow-down-right-2,e054,,
,arrow-down-right-3,e055,,
,arrow-down-right-4,e056,,
,arrow-down-right-5,e057,,
,arrow-down-tag,e05a,,
,arrow-email-forward,e05b,,
,arrow-enlarge-tag,e05c,,
,arrow-left,e05f,,
,arrow-left-2,e05d,,
,arrow-left-3,e05e,,
,arrow-left-tag,e060,,
,arrow-reduce-tag,e061,,
,arrow-right,e064,,
,arrow-right-2,e062,,
,arrow-right-3,e063,,
,arrow-right-tag,e065,,
,arrow-separate,e066,,
,arrow-separate-vertical,e067,,
,arrows-up-from-line,e068,,
,arrow-union,e069,,
,arrow-union-vertical,e06a,,
,arrow-up,e077,,
,arrow-up-2,e06b,,
,arrow-up-3,e06c,,
,arrow-up-left,e071,,
,arrow-up-left-2,e06d,,
,arrow-up-left-3,e06e,,
,arrow-up-left-4,e06f,,
,arrow-up-left-5,e070,,
,arrow-up-right,e076,,
,arrow-up-right-2,e072,,
,arrow-up-right-3,e073,,
,arrow-up-right-4,e074,,
,arrow-up-right-5,e075,,
,arrow-up-tag,e078,,
,ar-tag,e079,,
,asana,e07a,,
,asterisk,e07b,,
,atom,e07c,,
,at-sign,e07e,,
,at-sign-2,e07d,,
,attachment,e07f,,
,augmented-reality,e080,,
,auto-flash,e081,,
,avi-format,e082,,
,axes,e083,,
,backward-15-seconds,e084,,
,badge-check,e085,,
,bag,e086,,
,balcony,e087,,
,bank,e088,,
,barcode,e089,,
,basketball,e08b,,
,basketball-field,e08a,,
,bathroom,e08d,,
,bathroom-2,e08c,,
,battery-25,e08e,,
,battery-50,e08f,,
,battery-75,e090,,
,battery-charging,e091,,
,battery-empty,e092,,
,battery-full,e093,,
,battery-indicator,e094,,
,battery-slash,e095,,
,battery-warning,e096,,
,bbq,e097,,
