G,Name,U+,Style,Tags
,block-sextant-1,e01d,,
,block-sextant-12,e00e,,
,block-sextant-123,e006,,
,block-sextant-1234,e002,,
,block-sextant-12345,e000,,
,block-sextant-12346,e001,,
,block-sextant-1235,e004,,
,block-sextant-12356,e003,,
,block-sextant-1236,e005,,
,block-sextant-124,e00a,,
,block-sextant-1245,e008,,
,block-sextant-12456,e007,,
,block-sextant-1246,e009,,
,block-sextant-125,e00c,,
,block-sextant-1256,e00b,,
,block-sextant-126,e00d,,
,block-sextant-13,e015,,
,block-sextant-134,e012,,
,block-sextant-1345,e010,,
,block-sextant-13456,e00f,,
,block-sextant-1346,e011,,
,block-sextant-1356,e013,,
,block-sextant-136,e014,,
,block-sextant-14,e019,,
,block-sextant-145,e017,,
,block-sextant-1456,e016,,
,block-sextant-146,e018,,
,block-sextant-15,e01b,,
,block-sextant-156,e01a,,
,block-sextant-16,e01c,,
,block-sextant-2,e02c,,
,block-sextant-23,e025,,
,block-sextant-234,e021,,
,block-sextant-2345,e01f,,
,block-sextant-23456,e01e,,
,block-sextant-2346,e020,,
,block-sextant-235,e023,,
,block-sextant-2356,e022,,
,block-sextant-236,e024,,
,block-sextant-24,e028,,
,block-sextant-245,e027,,
,block-sextant-2456,e026,,
,block-sextant-25,e02a,,
,block-sextant-256,e029,,
,block-sextant-26,e02b,,
,block-sextant-3,e034,,
,block-sextant-34,e030,,
,block-sextant-345,e02e,,
,block-sextant-3456,e02d,,
,block-sextant-346,e02f,,
,block-sextant-35,e032,,
,block-sextant-356,e031,,
,block-sextant-36,e033,,
,block-sextant-4,e038,,
,block-sextant-45,e036,,
,block-sextant-456,e035,,
,block-sextant-46,e037,,
,block-sextant-5,e03a,,
,block-sextant-56,e039,,
,block-sextant-6,e03b,,
,box-drawings-light-diagonal-diamond,e03c,,
,box-drawings-light-diagonal-middle-left-to-lowe-centre,e03d,,
,box-drawings-light-diagonal-middle-left-to-lowe-centre-to-middle-right,e03e,,
,box-drawings-light-diagonal-middle-left-to-uppe-centre-to-middle-right,e03f,,
,box-drawings-light-diagonal-middle-left-to-uppe-centre-to-middle-right-to-lower-centre,e040,,
,box-drawings-light-diagonal-middle-right-to-lowe-centre,e041,,
,box-drawings-light-diagonal-middle-right-to-uppe-centre-to-middle-left-to-lower-centre,e042,,
,box-drawings-light-diagonal-upper-centre-to-midde-left,e044,,
,box-drawings-light-diagonal-upper-centre-to-midde-left-and-middle-right-to-lower-centre,e043,,
,box-drawings-light-diagonal-upper-centre-to-midde-left-to-lower-centre,e045,,
,box-drawings-light-diagonal-upper-centre-to-midde-left-to-lower-centre-to-middle-right,e046,,
,box-drawings-light-diagonal-upper-centre-to-midde-right,e048,,
,box-drawings-light-diagonal-upper-centre-to-midde-right-and-middle-left-to-lower-centre,e047,,
,box-drawings-light-diagonal-upper-centre-to-midde-right-to-lower-centre,e049,,
,box-drawings-light-diagonal-upper-centre-to-midde-right-to-lower-centre-to-middle-left,e04a,,
,box-drawings-light-horizontal-with-vertica-stroke,e04b,,
,checker-board-fill,e04c,,
,downwards-arrow-and-right-one-eighth-bloc,e04d,,
,heavy-horizontal-fill,e04e,,
,horizontal-one-eighth-block-1358,e04f,,
,horizontal-one-eighth-block-2,e050,,
,horizontal-one-eighth-block-3,e051,,
,horizontal-one-eighth-block-4,e052,,
,horizontal-one-eighth-block-5,e053,,
,horizontal-one-eighth-block-6,e054,,
,horizontal-one-eighth-block-7,e055,,
,inverse-checker-board-fill,e056,,
,inverse-check-mark,e057,,
,inverse-downwards-arrow-with-tip-leftwars,e058,,
,inverse-medium-shade,e059,,
,left-and-lower-and-right-triangular-three-qarters-block,e05a,,
,left-and-lower-one-eighth-block,e05b,,
,left-and-right-triangular-half-block,e05c,,
,left-and-upper-and-right-triangular-three-qarters-block,e05d,,
,left-and-upper-one-eighth-block,e05e,,
,left-half-folder,e05f,,
,left-half-inverse-medium-shade-and-right-half-blck,e060,,
,left-half-medium-shade,e061,,
,left-half-running-man,e062,,
,left-third-white-right-pointing-index,e063,,
,left-triangular-one-quarter-block,e064,,
,leftwards-arrow-and-upper-and-lower-one-eighth-lock,e065,,
,lower-half-medium-shade,e066,,
,lower-left-block-diagonal-lower-middle-left-tolower-centre,e067,,
,lower-left-block-diagonal-lower-middle-left-tolower-right,e068,,
,lower-left-block-diagonal-upper-centre-to-lowe-middle-right,e069,,
,lower-left-block-diagonal-upper-centre-to-lowe-right,e06a,,
,lower-left-block-diagonal-upper-centre-to-uppe-middle-right,e06b,,
,lower-left-block-diagonal-upper-left-to-lower-cntre,e06c,,
,lower-left-block-diagonal-upper-left-to-lower-mddle-right,e06d,,
,lower-left-block-diagonal-upper-left-to-upper-mddle-right,e06e,,
,lower-left-block-diagonal-upper-middle-left-tolower-centre,e06f,,
,lower-left-block-diagonal-upper-middle-left-tolower-middle-right,e070,,
,lower-left-block-diagonal-upper-middle-left-tolower-right,e071,,
,lower-left-triangular-medium-shade,e072,,
,lower-right-block-diagonal-lower-centre-to-lowe-middle-right,e073,,
,lower-right-block-diagonal-lower-centre-to-uppe-middle-right,e074,,
,lower-right-block-diagonal-lower-centre-to-uppe-right,e075,,
,lower-right-block-diagonal-lower-left-to-lower-mddle-right,e076,,
,lower-right-block-diagonal-lower-left-to-upper-cntre,e077,,
,lower-right-block-diagonal-lower-left-to-upper-mddle-right,e078,,
,lower-right-block-diagonal-lower-middle-left-toupper-centre,e079,,
,lower-right-block-diagonal-lower-middle-left-toupper-middle-right,e07a,,
,lower-right-block-diagonal-lower-middle-left-toupper-right,e07b,,
,lower-right-block-diagonal-upper-middle-left-toupper-centre,e07c,,
,lower-right-block-diagonal-upper-middle-left-toupper-right,e07d,,
,lower-right-triangular-medium-shade,e07e,,
,lower-triangular-one-quarter-block,e07f,,
,middle-third-white-right-pointing-index,e080,,
,negative-diagonal-cross,e081,,
,negative-diagonal-diamond,e082,,
,negative-diagonal-middle-right-to-lower-centr,e083,,
,negative-squared-question-mark,e084,,
,right-and-lower-one-eighth-block,e085,,
,right-and-upper-one-eighth-block,e086,,
,right-five-eighths-block,e087,,
,right-half-folder,e088,,
,right-half-medium-shade,e089,,
,right-half-running-man,e08a,,
,right-one-quarter-block,e08b,,
,right-open-squared-dot,e08c,,
,right-seven-eighths-block,e08d,,
,right-third-white-right-pointing-index,e08e,,
,right-three-eighths-block,e08f,,
,right-three-quarters-block,e090,,
,right-triangular-one-quarter-block,e091,,
,rightwards-arrow-and-upper-and-lower-one-eighth-lock,e092,,
,segmented-digit-eight,e093,,
,segmented-digit-five,e094,,
,segmented-digit-four,e095,,
,segmented-digit-nine,e096,,
,segmented-digit-one,e097,,
,segmented-digit-seven,e098,,
,segmented-digit-six,e099,,
,segmented-digit-three,e09a,,
,segmented-digit-two,e09b,,
,segmented-digit-zero,e09c,,
,stick-figure,e09f,,
,stick-figure-leaning-left,e09d,,
,stick-figure-leaning-right,e09e,,
,stick-figure-with-arms-raised,e0a0,,
,stick-figure-with-dress,e0a1,,
,upper-and-left-and-lower-triangular-three-qarters-block,e0a2,,
,upper-and-lower-one-eighth-block,e0a3,,
,upper-and-lower-triangular-half-block,e0a4,,
,upper-and-right-and-lower-triangular-three-qarters-block,e0a5,,
,upper-five-eighths-block,e0a6,,
,upper-half-block-and-lower-half-inverse-medium-hade,e0a7,,
,upper-half-inverse-medium-shade-and-lower-hlf-block,e0a8,,
,upper-half-medium-shade,e0a9,,
,upper-left-block-diagonal-lower-centre-to-lowe-middle-right,e0aa,,
,upper-left-block-diagonal-lower-centre-to-uppe-middle-right,e0ab,,
,upper-left-block-diagonal-lower-centre-to-uppe-right,e0ac,,
,upper-left-block-diagonal-lower-left-to-lower-mddle-right,e0ad,,
,upper-left-block-diagonal-lower-left-to-upper-cntre,e0ae,,
,upper-left-block-diagonal-lower-left-to-upper-mddle-right,e0af,,
,upper-left-block-diagonal-lower-middle-left-toupper-centre,e0b0,,
,upper-left-block-diagonal-lower-middle-left-toupper-middle-right,e0b1,,
,upper-left-block-diagonal-lower-middle-left-toupper-right,e0b2,,
,upper-left-block-diagonal-upper-middle-left-toupper-centre,e0b3,,
,upper-left-block-diagonal-upper-middle-left-toupper-right,e0b4,,
,upper-left-to-lower-right-fill,e0b5,,
,upper-left-triangular-medium-shade,e0b6,,
,upper-one-quarter-block,e0b7,,
,upper-right-block-diagonal-lower-middle-left-tolower-centre,e0b8,,
,upper-right-block-diagonal-lower-middle-left-tolower-right,e0b9,,
,upper-right-block-diagonal-upper-centre-to-lowe-middle-right,e0ba,,
,upper-right-block-diagonal-upper-centre-to-lowe-right,e0bb,,
,upper-right-block-diagonal-upper-centre-to-uppe-middle-right,e0bc,,
,upper-right-block-diagonal-upper-left-to-lower-cntre,e0bd,,
,upper-right-block-diagonal-upper-left-to-lower-mddle-right,e0be,,
,upper-right-block-diagonal-upper-left-to-upper-mddle-right,e0bf,,
,upper-right-block-diagonal-upper-middle-left-tolower-centre,e0c0,,
,upper-right-block-diagonal-upper-middle-left-tolower-middle-right,e0c1,,
,upper-right-block-diagonal-upper-middle-left-tolower-right,e0c2,,
,upper-right-to-lower-left-fill,e0c3,,
,upper-right-triangular-medium-shade,e0c4,,
,upper-seven-eighths-block,e0c5,,
,upper-three-eighths-block,e0c6,,
,upper-three-quarters-block,e0c7,,
,upper-triangular-one-quarter-block,e0c8,,
,upwards-arrow-and-right-one-eighth-block,e0c9,,
,vertical-one-eighth-block-2,e0ca,,
,vertical-one-eighth-block-3,e0cb,,
,vertical-one-eighth-block-4,e0cc,,
,vertical-one-eighth-block-5,e0cd,,
,vertical-one-eighth-block-6,e0ce,,
,vertical-one-eighth-block-7,e0cf,,
,voided-greek-cross,e0d0,,
,white-heavy-saltire-with-rounded-corners,e0d1,,
,white-up-pointing-chevron,e0d2,,
