G,Name,U+,Style,Tags
,alarm,e000,,
,anchor,e001,,
,anticlockwise,e002,,
,archive,e004,,
,archive-full,e003,,
,arrows-anticlockwise,e006,,
,arrows-anticlockwise-dashed,e005,,
,arrows-button-down,e007,,
,arrows-button-off,e008,,
,arrows-button-on,e009,,
,arrows-button-up,e00a,,
,arrows-check,e00b,,
,arrows-circle-check,e00c,,
,arrows-circle-down,e00f,,
,arrows-circle-downleft,e00d,,
,arrows-circle-downright,e00e,,
,arrows-circle-left,e010,,
,arrows-circle-minus,e011,,
,arrows-circle-plus,e012,,
,arrows-circle-remove,e013,,
,arrows-circle-right,e014,,
,arrows-circle-up,e017,,
,arrows-circle-upleft,e015,,
,arrows-circle-upright,e016,,
,arrows-clockwise,e019,,
,arrows-clockwise-dashed,e018,,
,arrows-compress,e01a,,
,arrows-deny,e01b,,
,arrows-diagonal,e01d,,
,arrows-diagonal2,e01c,,
,arrows-down,e021,,
,arrows-down-double-34,e01e,,
,arrows-downleft,e01f,,
,arrows-downright,e020,,
,arrows-drag-down,e023,,
,arrows-drag-down-dashed,e022,,
,arrows-drag-horiz,e024,,
,arrows-drag-left,e026,,
,arrows-drag-left-dashed,e025,,
,arrows-drag-right,e028,,
,arrows-drag-right-dashed,e027,,
,arrows-drag-up,e02a,,
,arrows-drag-up-dashed,e029,,
,arrows-drag-vert,e02b,,
,arrows-exclamation,e02c,,
,arrows-expand,e02f,,
,arrows-expand-diagonal1,e02d,,
,arrows-expand-horizontal1,e02e,,
,arrows-expand-vertical1,e030,,
,arrows-fit-horizontal,e031,,
,arrows-fit-vertical,e032,,
,arrows-glide,e034,,
,arrows-glide-horizontal,e033,,
,arrows-glide-vertical,e035,,
,arrows-hamburger1,e036,,
,arrows-hamburger-2,e037,,
,arrows-horizontal,e038,,
,arrows-info,e039,,
,arrows-keyboard,e041,,
,arrows-keyboard-cmd-29,e03a,,
,arrows-keyboard-delete,e03b,,
,arrows-keyboard-down-28,e03c,,
,arrows-keyboard-left,e03d,,
,arrows-keyboard-return,e03e,,
,arrows-keyboard-right,e03f,,
,arrows-keyboard-shift,e040,,
,arrows-keyboard-tab,e042,,
,arrows-keyboard-up,e043,,
,arrows-left,e045,,
,arrows-left-double-32,e044,,
,arrows-minus,e046,,
,arrows-move,e04b,,
,arrows-move2,e047,,
,arrows-move-bottom,e048,,
,arrows-move-left,e049,,
,arrows-move-right,e04a,,
,arrows-move-top,e04c,,
,arrows-plus,e04d,,
,arrows-question,e04e,,
,arrows-remove,e04f,,
,arrows-right,e051,,
,arrows-right-double-31,e050,,
,arrows-rotate,e055,,
,arrows-rotate-anti,e053,,
,arrows-rotate-anti-dashed,e052,,
,arrows-rotate-dashed,e054,,
,arrows-shrink,e05a,,
,arrows-shrink-diagonal1,e056,,
,arrows-shrink-diagonal2,e057,,
,arrows-shrink-horizonal2,e058,,
,arrows-shrink-horizontal1,e059,,
,arrows-shrink-vertical1,e05b,,
,arrows-shrink-vertical2,e05c,,
,arrows-sign-down,e05d,,
,arrows-sign-left,e05e,,
,arrows-sign-right,e05f,,
,arrows-sign-up,e060,,
,arrows-slide-down1,e061,,
,arrows-slide-down2,e062,,
,arrows-slide-left1,e063,,
,arrows-slide-left2,e064,,
,arrows-slide-right1,e065,,
,arrows-slide-right2,e066,,
,arrows-slide-up1,e067,,
,arrows-slide-up2,e068,,
,arrows-slim-down,e06a,,
,arrows-slim-down-dashed,e069,,
,arrows-slim-left,e06c,,
,arrows-slim-left-dashed,e06b,,
,arrows-slim-right,e06e,,
,arrows-slim-right-dashed,e06d,,
,arrows-slim-up,e070,,
,arrows-slim-up-dashed,e06f,,
,arrows-square-check,e071,,
,arrows-square-down,e074,,
,arrows-square-downleft,e072,,
,arrows-square-downright,e073,,
,arrows-square-left,e075,,
,arrows-square-minus,e076,,
,arrows-square-plus,e077,,
,arrows-square-remove,e078,,
,arrows-square-right,e079,,
,arrows-squares,e07a,,
,arrows-square-up,e07d,,
,arrows-square-upleft,e07b,,
,arrows-square-upright,e07c,,
,arrows-stretch-diagonal1,e07e,,
,arrows-stretch-diagonal2,e07f,,
,arrows-stretch-diagonal3,e080,,
,arrows-stretch-diagonal4,e081,,
,arrows-stretch-horizontal1,e082,,
,arrows-stretch-horizontal2,e083,,
,arrows-stretch-vertical1,e084,,
,arrows-stretch-vertical2,e085,,
,arrows-switch-horizontal,e086,,
,arrows-switch-vertical,e087,,
,arrows-up,e08c,,
,arrows-up-double,e089,,
,arrows-up-double-33,e088,,
,arrows-upleft,e08a,,
,arrows-upright,e08b,,
,arrows-vertical,e08d,,
,ban,e08e,,
,battery-charge,e08f,,
,battery-empty,e090,,
,battery-full,e091,,
,battery-half,e092,,
,bolt,e093,,
,book,e097,,
,bookmark,e094,,
,book-pen,e096,,
,book-pencil,e095,,
,calculator,e098,,
,calendar,e099,,
,cards-diamonds,e09a,,
,cards-hearts,e09b,,
,case,e09c,,
,chronometer,e09d,,
,clessidre,e09e,,
,clock,e09f,,
,clockwise,e0a0,,
,cloud,e0a1,,
,clubs,e0a2,,
,compass,e0a3,,
,cup,e0a4,,
,diamonds,e0a5,,
,display,e0a6,,
,download,e0a7,,
,ecommerce-bag,e0b0,,
