G,Name,U+,Style,Tags
,alpine,e000,,
,aosc,e001,,
,apple,e002,,
,archcraft,e003,,
,archlabs,e004,,
,archlinux,e005,,
,arcolinux,e006,,
,arduino,e007,,
,artix,e008,,
,awesome,e009,,
,biglinux,e00a,,
,bspwm,e00b,,
,budgie,e00c,,
,centos,e00d,,
,cinnamon,e00e,,
,codeberg,e00f,,
,coreos,e010,,
,crystal,e011,,
,debian,e012,,
,deepin,e013,,
,devuan,e014,,
,docker,e015,,
,dwm,e016,,
,elementary,e017,,
,endeavour,e018,,
,enlightenment,e019,,
,fdroid,e01a,,
,fedora,e01c,,
,fedora-2,e01b,,
,ferris,e01d,,
,flathub,e01e,,
,fluxbox,e01f,,
,forgejo,e020,,
,fosdem,e021,,
,freebsd,e022,,
,freecad,e023,,
,freedesktop,e024,,
,garuda,e025,,
,gentoo,e026,,
,gimp,e027,,
,gitea,e028,,
,gnome,e029,,
,gnu-guix,e02a,,
,gtk,e02b,,
,hyperbola,e02c,,
,hyprland,e02d,,
,i3,e02e,,
,illumos,e02f,,
,inkscape,e030,,
,jwm,e031,,
,kali-linux,e032,,
,kde,e036,,
,kde-neon,e033,,
,kdenlive,e034,,
,kde-plasma,e035,,
,kicad,e037,,
,krita,e038,,
,kubuntu,e03a,,
,kubuntu-2,e039,,
,linuxmint,e03c,,
,linuxmint-2,e03b,,
,locos,e03d,,
,lxde,e03e,,
,lxle,e03f,,
,lxqt,e040,,
,mageia,e041,,
,mandriva,e042,,
,manjaro,e043,,
,mate,e044,,
,mpv,e045,,
,mxlinux,e046,,
,neovim,e047,,
,nixos,e048,,
,octoprint,e049,,
,openbsd,e04a,,
,openscad,e04b,,
,opensuse,e04c,,
,osh,e04d,,
,oshwa,e04e,,
,osi,e04f,,
,parabola,e050,,
,parrot,e051,,
,pop-os,e052,,
,postmarketos,e053,,
,prusaslicer,e054,,
,puppy,e055,,
,qt,e057,,
,qtile,e056,,
,qubesos,e058,,
,raspberry-pi,e059,,
,redhat,e05a,,
,reprap,e05b,,
,riscv,e05c,,
,rocky-linux,e05d,,
,sabayon,e05e,,
,slackware,e060,,
,slackware-2,e05f,,
,snappy,e061,,
,solus,e062,,
,sway,e063,,
,tails,e064,,
,thunderbird,e065,,
,tor,e066,,
,trisquel,e067,,
,tux,e068,,
,ubuntu,e06a,,
,ubuntu-2,e069,,
,vanilla,e06b,,
,void,e06c,,
,vscodium,e06d,,
,wayland,e06e,,
,wikimedia,e06f,,
,xerolinux,e070,,
,xfce,e071,,
,xmonad,e072,,
,xorg,e073,,
,zorin,e074,,
