G,Name,U+,Style,Tags
,a-arrow-up,e000,,
,accessibility,e001,,
,activity,e002,,
,airplay,e003,,
,air-vent,e004,,
,a-large-small,e005,,
,alarm-clock,e00a,,
,alarm-clock-check,e006,,
,alarm-clock-minus,e007,,
,alarm-clock-off,e008,,
,alarm-clock-plus,e009,,
,alarm-smoke,e00b,,
,album,e00c,,
,align-center,e00e,,
,align-center-horizontal,e00d,,
,align-center-vertical,e00f,,
,align-end-horizontal,e010,,
,align-end-vertical,e011,,
,align-horizontal-distribute-center,e012,,
,align-horizontal-distribute-end,e013,,
,align-horizontal-distribute-start,e014,,
,align-horizontal-justify-center,e015,,
,align-horizontal-justify-end,e016,,
,align-horizontal-justify-start,e017,,
,align-horizontal-space-around,e018,,
,align-horizontal-space-between,e019,,
,align-justify,e01a,,
,align-left,e01b,,
,align-right,e01c,,
,align-start-horizontal,e01d,,
,align-start-vertical,e01e,,
,align-vertical-distribute-center,e01f,,
,align-vertical-distribute-end,e020,,
,align-vertical-distribute-start,e021,,
,align-vertical-justify-center,e022,,
,align-vertical-justify-end,e023,,
,align-vertical-justify-start,e024,,
,align-vertical-space-around,e025,,
,align-vertical-space-between,e026,,
,ambulance,e027,,
,ampersand,e029,,
,ampersands,e028,,
,anchor,e02a,,
,angry,e02b,,
,annoyed,e02c,,
,antenna,e02d,,
,anvil,e02e,,
,aperture,e02f,,
,apple,e030,,
,app-window,e032,,
,app-window-mac,e031,,
,archive,e034,,
,archive-restore,e033,,
,archive-x,e035,,
,area-chart,e036,,
,armchair,e037,,
,arrow-big-down,e039,,
,arrow-big-down-dash,e038,,
,arrow-big-left,e03b,,
,arrow-big-left-dash,e03a,,
,arrow-big-right,e03d,,
,arrow-big-right-dash,e03c,,
,arrow-big-up,e03f,,
,arrow-big-up-dash,e03e,,
,arrow-down,e047,,
,arrow-down-0-1,e040,,
,arrow-down-1-0,e041,,
,arrow-down-a-z,e042,,
,arrow-down-from-line,e043,,
,arrow-down-left,e044,,
,arrow-down-narrow-wide,e045,,
,arrow-down-right,e046,,
,arrow-down-to-dot,e048,,
