G,Name,U+,Style,Tags
,alpinelinux,e000,,
,angular,e002,,
,angular-2,e001,,
,antenna,e003,,
,apache,e004,,
,archlinux,e005,,
,aws,e006,,
,azure,e007,,
,backbone,e008,,
,blackberry,e009,,
,bomb,e00a,,
,bootstrap,e00b,,
,c,e017,,
,cassandra,e00c,,
,centos,e00d,,
,clojure,e00e,,
,codeigniter,e00f,,
,codepen,e010,,
,coffee-bean,e011,,
,cplusplus,e012,,
,csharp,e013,,
,css,e016,,
,css3,e015,,
,css3-2,e014,,
,d3,e018,,
,database,e01b,,
,database-2,e019,,
,database-3,e01a,,
,debian,e01c,,
,docker,e01d,,
,dreamhost,e01e,,
,elixir,e01f,,
,elm,e020,,
,erlang,e021,,
,exherbo,e022,,
,fedora,e023,,
,fire-2,e024,,
,freebsd,e025,,
,freecodecamp,e026,,
,gentoo,e027,,
,ghost,e028,,
,git,e029,,
,gnome,e02a,,
,go,e030,,
,go-2,e02b,,
,google,e02f,,
,google-2,e02c,,
,google-code,e02d,,
,google-developers,e02e,,
,gradle,e031,,
,grails,e033,,
,grails-2,e032,,
,grunt,e034,,
,gulp,e036,,
,gulp-2,e035,,
,hadoop,e037,,
,haskell,e038,,
,heroku,e039,,
,html,e03c,,
,html5,e03b,,
,html5-2,e03a,,
,iphone,e03d,,
,java,e042,,
,java-1,e03e,,
,java-duke,e03f,,
,javascript,e041,,
,javascript-2,e040,,
,jetty,e043,,
,jquery,e044,,
,kde,e045,,
,laravel,e046,,
,line-graph,e047,,
,linux-mint,e048,,
,looking,e049,,
,magento,e04a,,
,mariadb,e04b,,
,maven,e04c,,
,microscope,e04d,,
,mobile-device,e04e,,
,mobile-phone-2,e04f,,
,mobile-phone-broadcast,e050,,
,mongodb,e051,,
,mssql,e052,,
,mysql,e054,,
,mysql-2,e053,,
,netbsd,e055,,
,nginx,e058,,
,nginx-2,e056,,
,nginx-3,e057,,
,nodejs,e059,,
,npm,e05a,,
,objc,e05b,,
,openshift,e05c,,
,oracle,e05e,,
,oracle-2,e05d,,
,osx,e05f,,
,perl,e060,,
,phone-2,e061,,
,phone-gap,e062,,
,php,e064,,
,php-2,e063,,
,playframework,e066,,
,playframework-2,e065,,
,plone,e067,,
,postgres,e069,,
,postgres-2,e068,,
,python,e06a,,
,raspberrypi,e06b,,
,reactjs,e06c,,
,redhat,e06d,,
,redis,e06e,,
,ruby,e071,,
,ruby-on-rails,e070,,
,ruby-on-rails-2,e06f,,
,rust,e072,,
,sass,e073,,
,satellite,e074,,
,scala,e076,,
,scala-2,e075,,
,script,e078,,
,script-2,e077,,
,shell,e079,,
,sitefinity,e07a,,
,solaris,e07b,,
,splatter,e07c,,
,spring,e07d,,
,suse,e07e,,
,svg,e07f,,
,symfony,e080,,
,tomcat,e081,,
,ubuntu,e082,,
,unity,e083,,
,wireless,e084,,
,wordpress,e085,,
,x11,e086,,
