G,Name,U+,Style,Tags
,accessibility,e002,,
,accessibility-inset,e001,,
,accessibility-inset-3,e000,,
,alert,e007,,
,alert-2,e003,,
,alert-3,e004,,
,alert-4,e005,,
,alert-5,e006,,
,apps,e009,,
,apps-3,e008,,
,archive,e00b,,
,archive-3,e00a,,
,arrow-both,e00d,,
,arrow-both-3,e00c,,
,arrow-down,e013,,
,arrow-down-3,e00e,,
,arrow-down-left,e010,,
,arrow-down-left-3,e00f,,
,arrow-down-right,e012,,
,arrow-down-right-3,e011,,
,arrow-left,e015,,
,arrow-left-3,e014,,
,arrow-right,e017,,
,arrow-right-3,e016,,
,arrow-switch,e019,,
,arrow-switch-3,e018,,
,arrow-up,e01f,,
,arrow-up-3,e01a,,
,arrow-up-left,e01c,,
,arrow-up-left-3,e01b,,
,arrow-up-right,e01e,,
,arrow-up-right-3,e01d,,
,beaker,e021,,
,beaker-3,e020,,
,bell,e027,,
,bell-3,e022,,
,bell-4,e023,,
,bell-5,e024,,
,bell-slash,e026,,
,bell-slash-3,e025,,
,blocked,e029,,
,blocked-3,e028,,
,bold,e02b,,
,bold-3,e02a,,
,book,e035,,
,book-3,e02c,,
,bookmark,e034,,
,bookmark-3,e02d,,
,bookmark-4,e02e,,
,bookmark-5,e02f,,
,bookmark-slash,e033,,
,bookmark-slash-3,e030,,
,bookmark-slash-4,e031,,
,bookmark-slash-5,e032,,
,briefcase,e037,,
,briefcase-3,e036,,
,broadcast,e039,,
,broadcast-3,e038,,
,browser,e03b,,
,browser-3,e03a,,
,bug,e03d,,
,bug-3,e03c,,
,cache,e03f,,
,cache-3,e03e,,
,calendar,e041,,
,calendar-3,e040,,
,check,e04c,,
,check-2,e042,,
,check-3,e043,,
,check-4,e044,,
,check-5,e045,,
,check-6,e046,,
,check-7,e047,,
,checkbox,e049,,
,checkbox-3,e048,,
,checklist,e04b,,
,checklist-3,e04a,,
,chevron-down,e04f,,
,chevron-down-2,e04d,,
,chevron-down-3,e04e,,
,chevron-left,e052,,
,chevron-left-2,e050,,
,chevron-left-3,e051,,
,chevron-right,e055,,
,chevron-right-2,e053,,
,chevron-right-3,e054,,
,chevron-up,e058,,
,chevron-up-2,e056,,
