G,Name,U+,Style,Tags
,account-logout,e000,,
,action-redo,e001,,
,action-undo,e002,,
,align-center,e003,,
,align-left,e004,,
,align-right,e005,,
,aperture,e006,,
,arrow-bottom,e008,,
,arrow-bottom-2,e007,,
,arrow-left,e00a,,
,arrow-left-2,e009,,
,arrow-right,e00c,,
,arrow-right-2,e00b,,
,arrow-thick-bottom,e00d,,
,arrow-thick-left,e00e,,
,arrow-thick-right,e00f,,
,arrow-thick-top,e010,,
,arrow-top,e012,,
,arrow-top-2,e011,,
,audio,e014,,
,audio-spectrum,e013,,
,badge,e015,,
,ban,e016,,
,bar-chart,e017,,
,basket,e018,,
,battery-empty,e019,,
,battery-full,e01a,,
,beaker,e01b,,
,bell,e01c,,
,bluetooth,e01d,,
,bold,e01e,,
,bolt,e01f,,
,book,e021,,
,bookmark,e020,,
,box,e022,,
,briefcase,e023,,
,british-pound,e024,,
,browser,e025,,
,brush,e026,,
,bug,e027,,
,bullhorn,e028,,
,calculator,e029,,
,calendar,e02a,,
,camera-slr,e02b,,
,caret-bottom,e02c,,
,caret-left,e02d,,
,caret-right,e02e,,
,caret-top,e02f,,
,cart,e030,,
,chat,e031,,
,check,e032,,
,chevron-bottom,e033,,
,chevron-left,e034,,
,chevron-right,e035,,
,chevron-top,e036,,
,circle-check,e037,,
,circle-x,e038,,
,clipboard,e039,,
,clock,e03a,,
,cloud,e03c,,
,cloud-download,e03b,,
,cloud-upload,e03d,,
,cloudy,e03e,,
,code,e03f,,
,cog,e040,,
,collapse-down,e041,,
,collapse-left,e042,,
,collapse-right,e043,,
,collapse-up,e044,,
,command,e045,,
,comment-square,e046,,
,compass,e047,,
,contrast,e048,,
,copywriting,e049,,
,credit-card,e04a,,
,crop,e04b,,
,dashboard,e04c,,
,data-transfer-download,e04d,,
,data-transfer-upload,e04e,,
,delete,e04f,,
,dial,e050,,
,document,e051,,
,dollar,e052,,
,double-quote-sans-left,e053,,
,double-quote-sans-right,e054,,
,double-quote-serif-left,e055,,
,double-quote-serif-right,e056,,
,droplet,e057,,
,eject,e058,,
,elevator,e059,,
,ellipses,e05a,,
,envelope-closed,e05b,,
,envelope-open,e05c,,
,euro,e05d,,
,excerpt,e05e,,
,expand-down,e05f,,
,expand-left,e060,,
,expand-right,e061,,
,expand-up,e062,,
,external-link,e063,,
,eye,e065,,
,eyedropper,e064,,
,file,e066,,
,fire,e067,,
,flag,e068,,
,flash,e069,,
,folder,e06a,,
,fork,e06b,,
,fullscreen-enter,e06c,,
,fullscreen-exit,e06d,,
,globe,e06e,,
,graph,e06f,,
,grid-four-up,e070,,
,grid-three-up,e071,,
,grid-two-up,e072,,
,hard-drive,e073,,
,header,e074,,
,headphones,e075,,
,heart,e076,,
,home,e077,,
,image,e078,,
,inbox,e079,,
,infinity,e07a,,
,info,e07b,,
,italic,e07c,,
,justify-center,e07d,,
,justify-left,e07e,,
,justify-right,e07f,,
,key,e080,,
,laptop,e081,,
,layers,e082,,
,lightbulb,e083,,
,link-broken,e084,,
,link-intact,e085,,
,list,e087,,
,list-rich,e086,,
,location,e088,,
,lock-locked,e089,,
,lock-unlocked,e08a,,
,loop,e08d,,
,loop-circular,e08b,,
,loop-square,e08c,,
,magnifying-glass,e08e,,
,map,e090,,
,map-marker,e08f,,
,media-pause,e091,,
,media-play,e092,,
,media-record,e093,,
,media-skip-backward,e094,,
,media-skip-forward,e095,,
,media-step-backward,e096,,
,media-step-forward,e097,,
,media-stop,e098,,
,medical-cross,e099,,
,menu,e09a,,
,microphone,e09b,,
,minus,e09c,,
,monitor,e09d,,
,moon,e09e,,
,move,e09f,,
,musical-note,e0a0,,
,paperclip,e0a1,,
,pencil,e0a2,,
,people,e0a3,,
,person,e0a4,,
,phone,e0a5,,
,pie-chart,e0a6,,
,pin,e0a7,,
,play,e0a8,,
,plus,e0a9,,
,power-standby,e0aa,,
,print,e0ab,,
,project,e0ac,,
,pulse,e0ad,,
,puzzle-piece,e0ae,,
,question-mark,e0af,,
,rain,e0b0,,
,random,e0b1,,
,reload,e0b2,,
,resize-both,e0b3,,
,resize-height,e0b4,,
,resize-width,e0b5,,
,rss,e0b7,,
,rss-2,e0b6,,
,script,e0b8,,
,share,e0ba,,
,share-boxed,e0b9,,
,shield,e0bb,,
,signal,e0bc,,
,signpost,e0bd,,
,sort-ascending,e0be,,
,sort-descending,e0bf,,
,spreadsheet,e0c0,,
,star,e0c1,,
,sun,e0c2,,
,tablet,e0c3,,
,tag,e0c5,,
,tags,e0c4,,
,target,e0c6,,
,task,e0c7,,
,terminal,e0c8,,
,text,e0c9,,
,thumb-down,e0ca,,
,thumb-up,e0cb,,
,timer,e0cc,,
,transfer,e0cd,,
,trash,e0ce,,
,underline,e0cf,,
,vertical-align-bottom,e0d0,,
,vertical-align-center,e0d1,,
,vertical-align-top,e0d2,,
,video,e0d3,,
,volume-high,e0d4,,
,volume-low,e0d5,,
,volume-off,e0d6,,
,warning,e0d7,,
,wifi,e0d8,,
,wrench,e0d9,,
,x,e0da,,
,yen,e0db,,
,zoom-in,e0dc,,
,zoom-out,e0dd,,
