G,Name,U+,Style,Tags
,alipay,e000,,
,amazon-pay,e001,,
,american-express,e002,,
,apple-pay,e003,,
,availabill,e004,,
,bancontact,e005,,
,billpay,e006,,
,boncard,e007,,
,bonus-card,e008,,
,butterfly-card,e009,,
,cartes-bancaires,e00a,,
,cembrapay,e00b,,
,crif,e00c,,
,crypto,e00d,,
,dankort,e00e,,
,diners,e00f,,
,discover,e010,,
,elo,e011,,
,eps,e012,,
,giropay,e013,,
,google-pay,e014,,
,hipercard,e015,,
,ideal,e016,,
,jcb,e017,,
,klarna,e018,,
,lunch-check,e019,,
,maestro,e01b,,
,maestro-1,e01a,,
,mastercard,e01d,,
,mastercard-1,e01c,,
,mediamarkt,e01e,,
,migros-giftcard,e01f,,
,mobilepay,e020,,
,paypal,e021,,
,paysafecard,e022,,
,pointspay,e023,,
,postfinance-efinance,e024,,
,powerpay,e025,,
,reka,e026,,
,samsung-pay,e027,,
,sepa,e028,,
,skrill,e029,,
,swish,e02a,,
,swissbilling,e02b,,
,swisscom-pay,e02c,,
,swisspass,e02d,,
,twint,e02e,,
,uatp,e02f,,
,unionpay,e030,,
,vipps,e031,,
,visa,e032,,
,vpay,e033,,
,wechat-pay,e034,,
