G,Name,U+,Style,Tags
,1password,e000,,
,2k,e001,,
,365datascience,e002,,
,3m,e003,,
,42,e004,,
,4chan,e005,,
,4d,e006,,
,500px,e007,,
,7zip,e008,,
,99designs,e009,,
,9gag,e00a,,
,abbott,e00b,,
,abbrobotstudio,e00c,,
,abbvie,e00d,,
,aboutdotme,e00e,,
,abstract,e00f,,
,abusedotch,e010,,
,academia,e011,,
,accenture,e012,,
,accusoft,e013,,
,acer,e014,,
,acm,e015,,
,actigraph,e016,,
,activision,e017,,
,activitypub,e018,,
,actix,e019,,
,acura,e01a,,
,adafruit,e01b,,
,adblock,e01d,,
,adblockplus,e01c,,
,adguard,e01e,,
,adidas,e01f,,
,adminer,e020,,
,adobe,e02d,,
,adobeacrobatreader,e021,,
,adobeaftereffects,e022,,
,adobeaudition,e023,,
,adobecreativecloud,e024,,
,adobedreamweaver,e025,,
,adobefonts,e026,,
,adobeillustrator,e027,,
,adobeindesign,e028,,
,adobelightroom,e02a,,
,adobelightroomclassic,e029,,
,adobephotoshop,e02b,,
,adobepremierepro,e02c,,
,adobexd,e02e,,
,adonisjs,e02f,,
,adp,e030,,
,adroll,e031,,
,adventofcode,e032,,
,adyen,e033,,
,aerlingus,e034,,
,aeroflot,e035,,
,aeromexico,e036,,
,aerospike,e037,,
,aew,e038,,
,affine,e039,,
,affinity,e03d,,
,affinitydesigner,e03a,,
,affinityphoto,e03b,,
,affinitypublisher,e03c,,
,aframe,e03e,,
,afterpay,e03f,,
,agora,e040,,
,aib,e041,,
,aidungeon,e042,,
,aiohttp,e043,,
,aiqfome,e044,,
,airasia,e045,,
,airbnb,e046,,
,airbrakedotio,e047,,
,airbus,e048,,
,airbyte,e049,,
,aircall,e04a,,
,aircanada,e04b,,
,airchina,e04c,,
,airfrance,e04d,,
,airindia,e04e,,
,airplayaudio,e04f,,
,airplayvideo,e050,,
,airtable,e051,,
,airtel,e052,,
,airtransat,e053,,
,ajv,e054,,
,akamai,e055,,
,akaunting,e056,,
,akiflow,e057,,
,alacritty,e058,,
,alamy,e059,,
,albertheijn,e05a,,
,alby,e05b,,
,alchemy,e05c,,
,aldinord,e05d,,
,aldisud,e05e,,
,alfaromeo,e05f,,
,alfred,e060,,
,algolia,e061,,
,algorand,e062,,
,alibabacloud,e063,,
,alibabadotcom,e064,,
,alienware,e065,,
,aliexpress,e066,,
,alipay,e067,,
,allegro,e068,,
,alliedmodders,e069,,
,allocine,e06a,,
,alltrails,e06b,,
,almalinux,e06c,,
,alpinedotjs,e06d,,
,alpinelinux,e06e,,
,alteryx,e06f,,
