G,Name,U+,Style,Tags
,adjust-contrast,e000,,
,anchor,e001,,
,archive,e002,,
,arrow,e013,,
,arrow-back,e003,,
,arrow-down,e005,,
,arrow-down-2,e004,,
,arrow-forward,e006,,
,arrow-left,e008,,
,arrow-left-2,e007,,
,arrow-loop,e009,,
,arrow-maximise,e00a,,
,arrow-minimise,e00b,,
,arrow-move,e00c,,
,arrow-repeat,e00d,,
,arrow-right,e00f,,
,arrow-right-2,e00e,,
,arrow-shuffle,e010,,
,arrow-sorted-down,e011,,
,arrow-sorted-up,e012,,
,arrow-sync,e014,,
,arrow-unsorted,e015,,
,arrow-up,e017,,
,arrow-up-2,e016,,
,at,e018,,
,attachment,e019,,
,backspace,e01b,,
,backspace-2,e01a,,
,battery-charge,e01c,,
,battery-full,e01d,,
,battery-high,e01e,,
,battery-low,e01f,,
,battery-mid,e020,,
,beaker,e021,,
,beer,e022,,
,bell,e023,,
,book,e025,,
,bookmark,e024,,
,briefcase,e026,,
,brush,e027,,
,business-card,e028,,
,calculator,e029,,
,calendar,e02b,,
,calendar-2,e02a,,
,camera,e02d,,
,camera-2,e02c,,
,cancel,e02f,,
,cancel-2,e02e,,
,chart,e034,,
,chart-area,e030,,
,chart-bar,e031,,
,chart-line,e032,,
,chart-pie,e033,,
,chevron,e037,,
,chevron-left,e035,,
,chevron-right,e036,,
,clipboard,e038,,
,cloud,e03a,,
,cloud-storage,e039,,
,code,e03c,,
,code-2,e03b,,
,coffee,e03d,,
,cog,e03f,,
,cog-2,e03e,,
,compass,e040,,
,contacts,e041,,
,credit-card,e042,,
,css3,e043,,
,database,e044,,
,delete,e046,,
,delete-2,e045,,
,device-desktop,e047,,
,device-laptop,e048,,
,device-phone,e049,,
,device-tablet,e04a,,
,directions,e04b,,
,divide,e04d,,
,divide-2,e04c,,
,document,e050,,
,document-add,e04e,,
,document-delete,e04f,,
,document-text,e051,,
,download,e053,,
,download-2,e052,,
,dropbox,e054,,
,edit,e055,,
,eject,e056,,
,equals,e058,,
,equals-2,e057,,
,export,e05a,,
,export-2,e059,,
,eye,e05c,,
,eye-2,e05b,,
,feather,e05d,,
,fi,e061,,
,fi-2,e05e,,
,film,e05f,,
,filter,e060,,
,flag,e063,,
,flag-2,e062,,
,flash,e065,,
,flash-2,e064,,
,flow-children,e066,,
,flow-merge,e067,,
,flow-parallel,e068,,
,flow-switch,e069,,
,folder,e06d,,
,folder-add,e06a,,
,folder-delete,e06b,,
,folder-open,e06c,,
,gift,e06e,,
,globe,e070,,
,globe-2,e06f,,
,group,e072,,
,group-2,e071,,
,headphones,e073,,
,heart,e075,,
,heart-2,e074,,
,home,e077,,
,home-2,e076,,
,html5,e078,,
,image,e079,,
,infinity,e07a,,
,info,e07d,,
,info-2,e07b,,
,info-large,e07c,,
,input,e07f,,
,input-checked,e07e,,
,key,e082,,
,key-2,e080,,
,keyboard,e081,,
,leaf,e083,,
,lightbulb,e084,,
,link,e085,,
,location,e088,,
,location-2,e086,,
,location-arrow,e087,,
,lock,e08b,,
,lock-closed,e089,,
,lock-open,e08a,,
,mail,e08c,,
,map,e08d,,
,media,e096,,
,media-eject,e08e,,
,media-fast-forward,e08f,,
,media-pause,e090,,
,media-play,e092,,
,media-play-reverse,e091,,
,media-record,e093,,
,media-rewind,e094,,
,media-stop,e095,,
,message,e098,,
,messages,e097,,
,message-typing,e099,,
,microphone,e09b,,
,microphone-2,e09a,,
,minus,e09d,,
,minus-2,e09c,,
,mortar-board,e09e,,
,news,e09f,,
,notes,e0a1,,
,notes-2,e0a0,,
,pen,e0a3,,
,pencil,e0a2,,
,phone,e0a5,,
,phone-2,e0a4,,
,pi,e0a9,,
,pin,e0a7,,
,pin-2,e0a6,,
,pipette,e0a8,,
,plane,e0ab,,
,plane-2,e0aa,,
,plug,e0ac,,
,plus,e0ae,,
,plus-2,e0ad,,
,point,e0b0,,
,point-of-interest,e0af,,
,power,e0b1,,
,printer,e0b2,,
,puzzle,e0b4,,
,puzzle-2,e0b3,,
,radar,e0b5,,
,refresh,e0b6,,
,rss,e0b8,,
,rss-2,e0b7,,
,scissors,e0ba,,
,scissors-2,e0b9,,
,shopping-bag,e0bb,,
,shopping-cart,e0bc,,
,social,e0d1,,
,social-at-circular,e0bd,,
,social-dribbble,e0bf,,
,social-dribbble-circular,e0be,,
,social-facebook,e0c1,,
,social-facebook-circular,e0c0,,
,social-flickr,e0c3,,
,social-flickr-circular,e0c2,,
,social-github,e0c5,,
,social-github-circular,e0c4,,
,social-google-plus,e0c7,,
,social-google-plus-circular,e0c6,,
,social-instagram,e0c9,,
,social-instagram-circular,e0c8,,
,social-last-fm,e0cb,,
,social-last-fm-circular,e0ca,,
,social-linkedin,e0cd,,
,social-linkedin-circular,e0cc,,
,social-pinterest,e0cf,,
,social-pinterest-circular,e0ce,,
,social-skype,e0d0,,
,social-tumbler,e0d3,,
,social-tumbler-circular,e0d2,,
,social-twitter,e0d5,,
,social-twitter-circular,e0d4,,
,social-vimeo,e0d7,,
,social-vimeo-circular,e0d6,,
