G,Name,U+,Style,Tags
,absolute-position,e000,,
,academy-cap,e001,,
,accessibility,e002,,
,accordion-menu,e003,,
,add-dock,e004,,
,adjust,e005,,
,adobe-flash,e006,,
,airplane,e007,,
,alarm,e008,,
,align-center,e009,,
,align-justify,e00a,,
,align-left,e00b,,
,align-right,e00c,,
,alt,e00e,,
,alt-a,e00d,,
,ambulance,e00f,,
,anchor,e010,,
,angle-double-down,e011,,
,angle-double-left,e012,,
,angle-double-right,e013,,
,angle-double-up,e014,,
,angle-down,e015,,
,angle-left,e016,,
,angle-right,e017,,
,angle-up,e018,,
,archive,e01a,,
,archives,e019,,
,area-select,e01b,,
,arrow-backward,e01c,,
,arrow-down,e01f,,
,arrow-down-2,e01d,,
,arrow-down-3,e01e,,
,arrow-forward,e020,,
,arrow-left,e023,,
,arrow-left-2,e021,,
,arrow-left-3,e022,,
,arrow-long-down,e024,,
,arrow-long-left,e025,,
,arrow-right,e028,,
,arrow-right-2,e026,,
,arrow-right-3,e027,,
,arrows,e02e,,
,arrows-cross,e029,,
,arrows-long-h,e02a,,
,arrows-long-right,e02b,,
,arrows-long-up,e02c,,
,arrows-long-v,e02d,,
,arrow-up,e031,,
,arrow-up-2,e02f,,
,arrow-up-3,e030,,
,asterisk,e032,,
,at,e033,,
,automation,e034,,
,backspace,e036,,
,backspace-a,e035,,
,backwards,e037,,
,ban,e038,,
,bar-chart,e03a,,
,bar-chart-h,e039,,
,bar-chart-v,e03b,,
,barcode,e03c,,
,bed,e03d,,
,bell,e041,,
,bell-2,e03e,,
,bell-slash,e040,,
,bell-slash-2,e03f,,
,boat,e042,,
,bold,e043,,
,bolt,e044,,
,bomb,e045,,
,book,e04a,,
,book-dollar,e046,,
,bookmark,e048,,
,bookmark-2,e047,,
,book-percent,e049,,
,briefcase,e04b,,
,browser,e04c,,
,bug,e04e,,
,bug-2,e04d,,
,building,e050,,
,building-2,e04f,,
,bullets,e051,,
,bullseye,e052,,
,buss,e053,,
,button,e054,,
,calc,e056,,
,calc-book,e055,,
,calendar,e05b,,
,calendar-2,e057,,
,calendar-briefcase,e058,,
,calendar-clock,e059,,
,calendar-envelope,e05a,,
,calendar-user,e05c,,
,camera,e05d,,
,car,e066,,
,caret-down,e05f,,
,caret-down-2,e05e,,
,caret-left,e061,,
,caret-left-2,e060,,
,caret-right,e063,,
,caret-right-2,e062,,
,caret-up,e065,,
,caret-up-2,e064,,
,cart,e068,,
,cart-2,e067,,
,cash,e069,,
,chart,e06d,,
,chart-3d,e06a,,
,chart-grid,e06b,,
,chart-line,e06c,,
,chart-timeline,e06e,,
,chat,e06f,,
,check,e074,,
,check-2,e071,,
,check-2-2,e070,,
,check-3,e072,,
